period,region,sex,e0
2015-2019,Camuy,2,84.73039019852905
2020-2024,Camuy,2,85.0564662614588
1980-1984,Canovanas,2,78.36880142725938
1985-1989,Canovanas,2,78.09424025451125
1990-1994,Canovanas,2,78.52772487199316
1995-1999,Canovanas,2,78.08011176028488
2000-2004,Canovanas,2,80.1999473690189
2005-2009,Canovanas,2,81.72121848633245
2010-2014,Canovanas,2,82.21782486994059
2015-2019,Canovanas,2,83.6863070469933
2020-2024,Canovanas,2,84.26044359380064
1980-1984,Carolina,2,79.65464192874462
1985-1989,Carolina,2,79.82554274039
1990-1994,Carolina,2,79.52891652220056
1995-1999,Carolina,2,80.22962357141188
2000-2004,Carolina,2,81.83851145877493
2005-2009,Carolina,2,82.94750841313555
2010-2014,Carolina,2,84.2705742638848
2015-2019,Carolina,2,86.13439923674105
2020-2024,Carolina,2,85.58861143255277
1980-1984,Catano,2,76.92060385689237
1985-1989,Catano,2,78.14949874124056
1990-1994,Catano,2,78.32929964127193
1995-1999,Catano,2,78.6313821458843
2000-2004,Catano,2,80.1259250500052
2005-2009,Catano,2,81.93429059596467
2010-2014,Catano,2,83.08861477794898
2015-2019,Catano,2,84.93410573733964
2020-2024,Catano,2,84.85308655736651
1980-1984,Cayey,2,77.87101113183415
1985-1989,Cayey,2,78.58056781963138
1990-1994,Cayey,2,78.86412606467933
1995-1999,Cayey,2,79.30691838065614
2000-2004,Cayey,2,80.79996152027493
2005-2009,Cayey,2,81.92477823213284
2010-2014,Cayey,2,83.41697478131955
2015-2019,Cayey,2,85.15206454207951
2020-2024,Cayey,2,86.40273917278722
1980-1984,Ceiba,2,77.62431895510478
1985-1989,Ceiba,2,78.10953143660615
1990-1994,Ceiba,2,78.45846750167064
1995-1999,Ceiba,2,78.59297214513995
2000-2004,Ceiba,2,80.40894577783325
2005-2009,Ceiba,2,81.56597749920809
2010-2014,Ceiba,2,82.22551421711476
2015-2019,Ceiba,2,84.44353574840648
2020-2024,Ceiba,2,83.84709593883429
1980-1984,Ciales,2,78.84386685443417
1985-1989,Ciales,2,79.14381201248504
1990-1994,Ciales,2,79.49620919194196
1995-1999,Ciales,2,79.82300021450715
2000-2004,Ciales,2,81.28406572340509
2005-2009,Ciales,2,82.27385290035939
2010-2014,Ciales,2,83.46138987281783
2015-2019,Ciales,2,85.31307380704501
2020-2024,Ciales,2,84.6654607365612
1980-1984,Cidra,2,79.69025349799438
1985-1989,Cidra,2,79.52696638475926
1990-1994,Cidra,2,79.67730984342761
1995-1999,Cidra,2,80.71674375563948
2000-2004,Cidra,2,82.29791873040148
2005-2009,Cidra,2,83.04022381229419
2010-2014,Cidra,2,83.60216484974634
2015-2019,Cidra,2,85.3010621642394
2020-2024,Cidra,2,85.35879802269696
1980-1984,Coamo,2,78.46584408409737
1985-1989,Coamo,2,78.4946767620742
1990-1994,Coamo,2,79.29501556003237
1995-1999,Coamo,2,79.0768704808814
2000-2004,Coamo,2,80.96837882044574
2005-2009,Coamo,2,82.01976342428623
2010-2014,Coamo,2,82.5974306068154
2015-2019,Coamo,2,84.5374152798195
2020-2024,Coamo,2,85.01369611460944
1980-1984,Comerio,2,79.01030466554697
1985-1989,Comerio,2,79.11527517288208
1990-1994,Comerio,2,79.05982369034034
1995-1999,Comerio,2,79.14716057830069
2000-2004,Comerio,2,80.8240573510279
2005-2009,Comerio,2,81.91253733906844
2010-2014,Comerio,2,83.14018158572918
2015-2019,Comerio,2,84.64127953111245
2020-2024,Comerio,2,84.23602083501153
1980-1984,Corozal,2,78.63316332381883
1985-1989,Corozal,2,78.75174365109233
1990-1994,Corozal,2,79.20716718634873
1995-1999,Corozal,2,80.0957300031974
2000-2004,Corozal,2,81.81852085590263
2005-2009,Corozal,2,81.91546794425585
2010-2014,Corozal,2,83.65580433768449
2015-2019,Corozal,2,84.71487409512903
2020-2024,Corozal,2,85.40774010133622
1980-1984,Culebra,2,79.18583988368641
1985-1989,Culebra,2,79.57573581242328
1990-1994,Culebra,2,79.80452374713576
1995-1999,Culebra,2,80.3130874011275
2000-2004,Culebra,2,81.79387809150917
2005-2009,Culebra,2,82.78278883794763
2010-2014,Culebra,2,83.74533195244037
2015-2019,Culebra,2,85.14986583260284
2020-2024,Culebra,2,84.95994245106908
1980-1984,Dorado,2,79.0086365960263
1985-1989,Dorado,2,79.20119564652906
1990-1994,Dorado,2,79.49875800858159
1995-1999,Dorado,2,79.81590879201268
2000-2004,Dorado,2,80.67990834273536
2005-2009,Dorado,2,81.8921353145711
2010-2014,Dorado,2,83.52207236901717
2015-2019,Dorado,2,85.03823251046266
2020-2024,Dorado,2,86.0014429077482
1980-1984,Fajardo,2,77.12566810107764
1985-1989,Fajardo,2,77.54709226127137
1990-1994,Fajardo,2,78.11291094895645
1995-1999,Fajardo,2,78.6344738906429
2000-2004,Fajardo,2,79.94894010746489
2005-2009,Fajardo,2,80.6442256544556
2010-2014,Fajardo,2,81.63968959217246
2015-2019,Fajardo,2,83.74492837897722
2020-2024,Fajardo,2,83.6743028961392
1980-1984,Florida,2,77.98618715670588
1985-1989,Florida,2,77.72072519639757
1990-1994,Florida,2,77.94768888389964
1995-1999,Florida,2,78.49359159079131
2000-2004,Florida,2,80.44231385433449
2005-2009,Florida,2,81.07184320259252
2010-2014,Florida,2,82.69098342890686
2015-2019,Florida,2,83.84247744924983
