period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,94.87179487179486,39.743589743589745,55.12820512820513,2.564102564102564,2.564102564102564
1980-1984,2,91.02564102564102,32.05128205128205,58.97435897435898,5.128205128205128,3.8461538461538463
1985-1989,1,93.58974358974359,51.28205128205128,42.30769230769231,2.564102564102564,3.8461538461538463
1985-1989,2,93.58974358974359,28.205128205128204,65.38461538461539,2.564102564102564,3.8461538461538463
1990-1994,1,91.02564102564102,51.28205128205128,39.743589743589745,3.8461538461538463,5.128205128205128
1990-1994,2,98.71794871794873,35.8974358974359,62.82051282051282,1.282051282051282,0
1995-1999,1,92.3076923076923,51.28205128205128,41.02564102564102,3.8461538461538463,3.8461538461538463
1995-1999,2,100,42.30769230769231,57.692307692307686,0,0
2000-2004,1,91.02564102564102,35.8974358974359,55.12820512820513,2.564102564102564,6.41025641025641
2000-2004,2,100,30.76923076923077,69.23076923076923,0,0
2005-2009,1,87.17948717948718,47.43589743589743,39.743589743589745,1.282051282051282,11.538461538461538
2005-2009,2,98.71794871794873,29.48717948717949,69.23076923076923,0,1.282051282051282
2010-2014,1,88.46153846153845,48.717948717948715,39.743589743589745,5.128205128205128,6.41025641025641
2010-2014,2,98.71794871794873,25.64102564102564,73.07692307692307,0,1.282051282051282
2015-2019,1,91.02564102564102,35.8974358974359,55.12820512820513,5.128205128205128,3.8461538461538463
2015-2019,2,97.43589743589743,30.76923076923077,66.66666666666666,1.282051282051282,1.282051282051282
2020-2024,1,83.33333333333334,41.02564102564102,42.30769230769231,15.384615384615385,1.282051282051282
2020-2024,2,96.15384615384616,29.48717948717949,66.66666666666666,3.8461538461538463,0
