year,fips3,municipio,sex,agegrp,population
2006,93,Maricao,1,16,67
2007,93,Maricao,1,16,68
2008,93,Maricao,1,16,69
2009,93,Maricao,1,16,71
2000,93,Maricao,1,17,39
2001,93,Maricao,1,17,40
2002,93,Maricao,1,17,40
2003,93,Maricao,1,17,39
2004,93,Maricao,1,17,39
2005,93,Maricao,1,17,40
2006,93,Maricao,1,17,40
2007,93,Maricao,1,17,39
2008,93,Maricao,1,17,38
2009,93,Maricao,1,17,38
2000,93,Maricao,1,18,41
2001,93,Maricao,1,18,41
2002,93,Maricao,1,18,41
2003,93,Maricao,1,18,41
2004,93,Maricao,1,18,42
2005,93,Maricao,1,18,43
2006,93,Maricao,1,18,44
2007,93,Maricao,1,18,45
2008,93,Maricao,1,18,46
2009,93,Maricao,1,18,47
2000,93,Maricao,2,0,3281
2001,93,Maricao,2,0,3287
2002,93,Maricao,2,0,3284
2003,93,Maricao,2,0,3290
2004,93,Maricao,2,0,3286
2005,93,Maricao,2,0,3280
2006,93,Maricao,2,0,3258
2007,93,Maricao,2,0,3243
2008,93,Maricao,2,0,3206
2009,93,Maricao,2,0,3187
2000,93,Maricao,2,1,261
2001,93,Maricao,2,1,258
2002,93,Maricao,2,1,252
2003,93,Maricao,2,1,245
2004,93,Maricao,2,1,239
2005,93,Maricao,2,1,232
2006,93,Maricao,2,1,223
2007,93,Maricao,2,1,217
2008,93,Maricao,2,1,210
2009,93,Maricao,2,1,205
2000,93,Maricao,2,2,264
2001,93,Maricao,2,2,260
2002,93,Maricao,2,2,256
2003,93,Maricao,2,2,249
2004,93,Maricao,2,2,244
2005,93,Maricao,2,2,237
2006,93,Maricao,2,2,230
2007,93,Maricao,2,2,220
2008,93,Maricao,2,2,208
2009,93,Maricao,2,2,198
2000,93,Maricao,2,3,318
2001,93,Maricao,2,3,312
2002,93,Maricao,2,3,304
2003,93,Maricao,2,3,298
2004,93,Maricao,2,3,291
2005,93,Maricao,2,3,280
2006,93,Maricao,2,3,269
2007,93,Maricao,2,3,260
2008,93,Maricao,2,3,247
2009,93,Maricao,2,3,236
2000,93,Maricao,2,4,335
2001,93,Maricao,2,4,322
2002,93,Maricao,2,4,309
2003,93,Maricao,2,4,298
2004,93,Maricao,2,4,289
2005,93,Maricao,2,4,284
2006,93,Maricao,2,4,273
2007,93,Maricao,2,4,264
2008,93,Maricao,2,4,252
2009,93,Maricao,2,4,240
2000,93,Maricao,2,5,274
2001,93,Maricao,2,5,278
2002,93,Maricao,2,5,280
2003,93,Maricao,2,5,280
2004,93,Maricao,2,5,278
2005,93,Maricao,2,5,272
2006,93,Maricao,2,5,267
2007,93,Maricao,2,5,262
2008,93,Maricao,2,5,257
2009,93,Maricao,2,5,257
2000,93,Maricao,2,6,201
2001,93,Maricao,2,6,201
2002,93,Maricao,2,6,205
2003,93,Maricao,2,6,210
2004,93,Maricao,2,6,217
2005,93,Maricao,2,6,222
2006,93,Maricao,2,6,223
2007,93,Maricao,2,6,225
2008,93,Maricao,2,6,223
2009,93,Maricao,2,6,219
2000,93,Maricao,2,7,190
2001,93,Maricao,2,7,191
2002,93,Maricao,2,7,190
2003,93,Maricao,2,7,190
2004,93,Maricao,2,7,189
2005,93,Maricao,2,7,187
2006,93,Maricao,2,7,186
2007,93,Maricao,2,7,188
2008,93,Maricao,2,7,189
2009,93,Maricao,2,7,193
2000,93,Maricao,2,8,239
2001,93,Maricao,2,8,237
2002,93,Maricao,2,8,232
2003,93,Maricao,2,8,225
2004,93,Maricao,2,8,217
2005,93,Maricao,2,8,209
2006,93,Maricao,2,8,203
2007,93,Maricao,2,8,198
2008,93,Maricao,2,8,194
2009,93,Maricao,2,8,188
2000,93,Maricao,2,9,223
2001,93,Maricao,2,9,222
2002,93,Maricao,2,9,221
2003,93,Maricao,2,9,220
2004,93,Maricao,2,9,219
2005,93,Maricao,2,9,217
2006,93,Maricao,2,9,214
2007,93,Maricao,2,9,209
2008,93,Maricao,2,9,202
2009,93,Maricao,2,9,194
2000,93,Maricao,2,10,216
2001,93,Maricao,2,10,218
2002,93,Maricao,2,10,220
2003,93,Maricao,2,10,223
2004,93,Maricao,2,10,223
2005,93,Maricao,2,10,224
2006,93,Maricao,2,10,225
2007,93,Maricao,2,10,225
2008,93,Maricao,2,10,225
2009,93,Maricao,2,10,225
2000,93,Maricao,2,11,179
2001,93,Maricao,2,11,181
2002,93,Maricao,2,11,184
2003,93,Maricao,2,11,188
2004,93,Maricao,2,11,191
2005,93,Maricao,2,11,198
2006,93,Maricao,2,11,203
2007,93,Maricao,2,11,211
2008,93,Maricao,2,11,215
2009,93,Maricao,2,11,220
2000,93,Maricao,2,12,141
2001,93,Maricao,2,12,154
2002,93,Maricao,2,12,166
2003,93,Maricao,2,12,177
2004,93,Maricao,2,12,188
2005,93,Maricao,2,12,199
2006,93,Maricao,2,12,204
2007,93,Maricao,2,12,209
2008,93,Maricao,2,12,214
2009,93,Maricao,2,12,219
2000,93,Maricao,2,13,140
2001,93,Maricao,2,13,140
2002,93,Maricao,2,13,143
2003,93,Maricao,2,13,148
2004,93,Maricao,2,13,149
2005,93,Maricao,2,13,154
2006,93,Maricao,2,13,160
2007,93,Maricao,2,13,165
2008,93,Maricao,2,13,168
2009,93,Maricao,2,13,173
2000,93,Maricao,2,14,105
2001,93,Maricao,2,14,110
2002,93,Maricao,2,14,113
2003,93,Maricao,2,14,120
2004,93,Maricao,2,14,125
2005,93,Maricao,2,14,131
2006,93,Maricao,2,14,136
2007,93,Maricao,2,14,141
2008,93,Maricao,2,14,149
2009,93,Maricao,2,14,153
2000,93,Maricao,2,15,64
2001,93,Maricao,2,15,67
2002,93,Maricao,2,15,72
2003,93,Maricao,2,15,76
2004,93,Maricao,2,15,80
2005,93,Maricao,2,15,85
2006,93,Maricao,2,15,89
2007,93,Maricao,2,15,91
2008,93,Maricao,2,15,95
2009,93,Maricao,2,15,101
2000,93,Maricao,2,16,45
2001,93,Maricao,2,16,49
2002,93,Maricao,2,16,51
2003,93,Maricao,2,16,56
2004,93,Maricao,2,16,60
2005,93,Maricao,2,16,60
2006,93,Maricao,2,16,65
2007,93,Maricao,2,16,69
2008,93,Maricao,2,16,70
2009,93,Maricao,2,16,76
2000,93,Maricao,2,17,46
2001,93,Maricao,2,17,47
2002,93,Maricao,2,17,46
2003,93,Maricao,2,17,46
2004,93,Maricao,2,17,45
2005,93,Maricao,2,17,46
2006,93,Maricao,2,17,44
2007,93,Maricao,2,17,44
2008,93,Maricao,2,17,42
2009,93,Maricao,2,17,42
2000,93,Maricao,2,18,40
2001,93,Maricao,2,18,40
2002,93,Maricao,2,18,40
2003,93,Maricao,2,18,41
2004,93,Maricao,2,18,42
2005,93,Maricao,2,18,43
2006,93,Maricao,2,18,44
2007,93,Maricao,2,18,45
2008,93,Maricao,2,18,46
2009,93,Maricao,2,18,48
2000,95,Maunabo,0,0,12746
2001,95,Maunabo,0,0,12743
2002,95,Maunabo,0,0,12731
2003,95,Maunabo,0,0,12713
2004,95,Maunabo,0,0,12697
2005,95,Maunabo,0,0,12659
2006,95,Maunabo,0,0,12583
2007,95,Maunabo,0,0,12490
2008,95,Maunabo,0,0,12390
2009,95,Maunabo,0,0,12288
2000,95,Maunabo,0,1,912
2001,95,Maunabo,0,1,899
2002,95,Maunabo,0,1,880
2003,95,Maunabo,0,1,860
2004,95,Maunabo,0,1,835
2005,95,Maunabo,0,1,814
2006,95,Maunabo,0,1,786
2007,95,Maunabo,0,1,761
2008,95,Maunabo,0,1,743
2009,95,Maunabo,0,1,725
2000,95,Maunabo,0,2,1106
2001,95,Maunabo,0,2,1088
2002,95,Maunabo,0,2,1068
2003,95,Maunabo,0,2,1042
2004,95,Maunabo,0,2,1016
2005,95,Maunabo,0,2,983
2006,95,Maunabo,0,2,949
2007,95,Maunabo,0,2,907
2008,95,Maunabo,0,2,860
2009,95,Maunabo,0,2,814
2000,95,Maunabo,0,3,1173
2001,95,Maunabo,0,3,1155
2002,95,Maunabo,0,3,1128
2003,95,Maunabo,0,3,1102
2004,95,Maunabo,0,3,1078
2005,95,Maunabo,0,3,1037
2006,95,Maunabo,0,3,1005
2007,95,Maunabo,0,3,965
2008,95,Maunabo,0,3,926
2009,95,Maunabo,0,3,883
2000,95,Maunabo,0,4,1080
2001,95,Maunabo,0,4,1061
2002,95,Maunabo,0,4,1042
2003,95,Maunabo,0,4,1028
2004,95,Maunabo,0,4,1022
2005,95,Maunabo,0,4,1026
2006,95,Maunabo,0,4,1019
2007,95,Maunabo,0,4,1009
2008,95,Maunabo,0,4,999
2009,95,Maunabo,0,4,984
2000,95,Maunabo,0,5,968
2001,95,Maunabo,0,5,981
2002,95,Maunabo,0,5,986
2003,95,Maunabo,0,5,982
2004,95,Maunabo,0,5,968
2005,95,Maunabo,0,5,948
2006,95,Maunabo,0,5,922
2007,95,Maunabo,0,5,896
2008,95,Maunabo,0,5,878
2009,95,Maunabo,0,5,865
2000,95,Maunabo,0,6,914
2001,95,Maunabo,0,6,888
2002,95,Maunabo,0,6,870
2003,95,Maunabo,0,6,861
2004,95,Maunabo,0,6,854
2005,95,Maunabo,0,6,848
2006,95,Maunabo,0,6,829
2007,95,Maunabo,0,6,805
2008,95,Maunabo,0,6,773
2009,95,Maunabo,0,6,734
2000,95,Maunabo,0,7,849
2001,95,Maunabo,0,7,831
2002,95,Maunabo,0,7,816
2003,95,Maunabo,0,7,804
2004,95,Maunabo,0,7,791
2005,95,Maunabo,0,7,777
2006,95,Maunabo,0,7,756
2007,95,Maunabo,0,7,746
2008,95,Maunabo,0,7,740
2009,95,Maunabo,0,7,740
2000,95,Maunabo,0,8,833
2001,95,Maunabo,0,8,838
2002,95,Maunabo,0,8,834
2003,95,Maunabo,0,8,825
2004,95,Maunabo,0,8,816
2005,95,Maunabo,0,8,808
2006,95,Maunabo,0,8,803
2007,95,Maunabo,0,8,801
2008,95,Maunabo,0,8,801
2009,95,Maunabo,0,8,799
2000,95,Maunabo,0,9,777
2001,95,Maunabo,0,9,783
2002,95,Maunabo,0,9,786
2003,95,Maunabo,0,9,796
2004,95,Maunabo,0,9,805
2005,95,Maunabo,0,9,808
2006,95,Maunabo,0,9,811
2007,95,Maunabo,0,9,807
2008,95,Maunabo,0,9,794
2009,95,Maunabo,0,9,781
2000,95,Maunabo,0,10,746
2001,95,Maunabo,0,10,755
2002,95,Maunabo,0,10,768
2003,95,Maunabo,0,10,777
2004,95,Maunabo,0,10,782
2005,95,Maunabo,0,10,793
2006,95,Maunabo,0,10,798
2007,95,Maunabo,0,10,796
2008,95,Maunabo,0,10,802
2009,95,Maunabo,0,10,810
2000,95,Maunabo,0,11,798
2001,95,Maunabo,0,11,795
2002,95,Maunabo,0,11,785
2003,95,Maunabo,0,11,778
2004,95,Maunabo,0,11,777
2005,95,Maunabo,0,11,776
2006,95,Maunabo,0,11,779
2007,95,Maunabo,0,11,785
2008,95,Maunabo,0,11,790
2009,95,Maunabo,0,11,792
2000,95,Maunabo,0,12,625
2001,95,Maunabo,0,12,656
2002,95,Maunabo,0,12,686
2003,95,Maunabo,0,12,712
2004,95,Maunabo,0,12,733
2005,95,Maunabo,0,12,752
2006,95,Maunabo,0,12,757
2007,95,Maunabo,0,12,756
2008,95,Maunabo,0,12,755
2009,95,Maunabo,0,12,756
2000,95,Maunabo,0,13,554
2001,95,Maunabo,0,13,569
2002,95,Maunabo,0,13,592
2003,95,Maunabo,0,13,616
2004,95,Maunabo,0,13,643
2005,95,Maunabo,0,13,671
2006,95,Maunabo,0,13,707
2007,95,Maunabo,0,13,746
2008,95,Maunabo,0,13,775
2009,95,Maunabo,0,13,801
2000,95,Maunabo,0,14,416
2001,95,Maunabo,0,14,437
2002,95,Maunabo,0,14,462
2003,95,Maunabo,0,14,487
2004,95,Maunabo,0,14,515
2005,95,Maunabo,0,14,534
2006,95,Maunabo,0,14,554
2007,95,Maunabo,0,14,581
2008,95,Maunabo,0,14,609
2009,95,Maunabo,0,14,636
2000,95,Maunabo,0,15,304
2001,95,Maunabo,0,15,315
2002,95,Maunabo,0,15,335
2003,95,Maunabo,0,15,349
2004,95,Maunabo,0,15,363
2005,95,Maunabo,0,15,387
2006,95,Maunabo,0,15,406
2007,95,Maunabo,0,15,422
2008,95,Maunabo,0,15,438
2009,95,Maunabo,0,15,458
2000,95,Maunabo,0,16,266
2001,95,Maunabo,0,16,268
2002,95,Maunabo,0,16,268
2003,95,Maunabo,0,16,271
2004,95,Maunabo,0,16,271
2005,95,Maunabo,0,16,270
2006,95,Maunabo,0,16,272
2007,95,Maunabo,0,16,275
2008,95,Maunabo,0,16,275
2009,95,Maunabo,0,16,277
2000,95,Maunabo,0,17,205
2001,95,Maunabo,0,17,205
2002,95,Maunabo,0,17,208
2003,95,Maunabo,0,17,206
2004,95,Maunabo,0,17,207
2005,95,Maunabo,0,17,204
2006,95,Maunabo,0,17,202
2007,95,Maunabo,0,17,200
2008,95,Maunabo,0,17,195
2009,95,Maunabo,0,17,192
2000,95,Maunabo,0,18,220
2001,95,Maunabo,0,18,219
2002,95,Maunabo,0,18,217
2003,95,Maunabo,0,18,217
2004,95,Maunabo,0,18,221
2005,95,Maunabo,0,18,223
2006,95,Maunabo,0,18,228
2007,95,Maunabo,0,18,232
2008,95,Maunabo,0,18,237
2009,95,Maunabo,0,18,241
2000,95,Maunabo,1,0,6287
2001,95,Maunabo,1,0,6285
2002,95,Maunabo,1,0,6276
2003,95,Maunabo,1,0,6271
2004,95,Maunabo,1,0,6264
2005,95,Maunabo,1,0,6243
2006,95,Maunabo,1,0,6206
2007,95,Maunabo,1,0,6162
2008,95,Maunabo,1,0,6113
2009,95,Maunabo,1,0,6066
2000,95,Maunabo,1,1,451
2001,95,Maunabo,1,1,446
2002,95,Maunabo,1,1,438
2003,95,Maunabo,1,1,431
2004,95,Maunabo,1,1,421
2005,95,Maunabo,1,1,412
2006,95,Maunabo,1,1,401
2007,95,Maunabo,1,1,391
2008,95,Maunabo,1,1,385
2009,95,Maunabo,1,1,378
2000,95,Maunabo,1,2,566
2001,95,Maunabo,1,2,555
2002,95,Maunabo,1,2,545
2003,95,Maunabo,1,2,531
2004,95,Maunabo,1,2,518
2005,95,Maunabo,1,2,499
2006,95,Maunabo,1,2,482
2007,95,Maunabo,1,2,459
2008,95,Maunabo,1,2,435
2009,95,Maunabo,1,2,411
2000,95,Maunabo,1,3,580
2001,95,Maunabo,1,3,572
2002,95,Maunabo,1,3,557
2003,95,Maunabo,1,3,545
2004,95,Maunabo,1,3,533
2005,95,Maunabo,1,3,513
2006,95,Maunabo,1,3,497
2007,95,Maunabo,1,3,477
2008,95,Maunabo,1,3,458
2009,95,Maunabo,1,3,437
2000,95,Maunabo,1,4,552
2001,95,Maunabo,1,4,544
2002,95,Maunabo,1,4,536
2003,95,Maunabo,1,4,529
2004,95,Maunabo,1,4,527
2005,95,Maunabo,1,4,530
2006,95,Maunabo,1,4,528
2007,95,Maunabo,1,4,525
2008,95,Maunabo,1,4,522
2009,95,Maunabo,1,4,514
2000,95,Maunabo,1,5,498
2001,95,Maunabo,1,5,504
2002,95,Maunabo,1,5,505
2003,95,Maunabo,1,5,501
2004,95,Maunabo,1,5,491
2005,95,Maunabo,1,5,479
2006,95,Maunabo,1,5,462
2007,95,Maunabo,1,5,446
2008,95,Maunabo,1,5,431
2009,95,Maunabo,1,5,421
2000,95,Maunabo,1,6,455
2001,95,Maunabo,1,6,441
2002,95,Maunabo,1,6,428
2003,95,Maunabo,1,6,422
2004,95,Maunabo,1,6,417
2005,95,Maunabo,1,6,413
2006,95,Maunabo,1,6,401
2007,95,Maunabo,1,6,388
2008,95,Maunabo,1,6,371
2009,95,Maunabo,1,6,351
2000,95,Maunabo,1,7,377
2001,95,Maunabo,1,7,376
2002,95,Maunabo,1,7,376
2003,95,Maunabo,1,7,379
2004,95,Maunabo,1,7,380
2005,95,Maunabo,1,7,378
2006,95,Maunabo,1,7,373
2007,95,Maunabo,1,7,374
2008,95,Maunabo,1,7,377
2009,95,Maunabo,1,7,386
2000,95,Maunabo,1,8,444
2001,95,Maunabo,1,8,444
2002,95,Maunabo,1,8,440
2003,95,Maunabo,1,8,432
2004,95,Maunabo,1,8,427
2005,95,Maunabo,1,8,423
2006,95,Maunabo,1,8,420
2007,95,Maunabo,1,8,417
2008,95,Maunabo,1,8,413
2009,95,Maunabo,1,8,410
2000,95,Maunabo,1,9,358
2001,95,Maunabo,1,9,360
2002,95,Maunabo,1,9,360
2003,95,Maunabo,1,9,364
2004,95,Maunabo,1,9,367
2005,95,Maunabo,1,9,367
2006,95,Maunabo,1,9,368
2007,95,Maunabo,1,9,366
2008,95,Maunabo,1,9,361
2009,95,Maunabo,1,9,354
2000,95,Maunabo,1,10,375
2001,95,Maunabo,1,10,381
2002,95,Maunabo,1,10,390
2003,95,Maunabo,1,10,398
2004,95,Maunabo,1,10,403
2005,95,Maunabo,1,10,411
2006,95,Maunabo,1,10,417
2007,95,Maunabo,1,10,418
2008,95,Maunabo,1,10,424
2009,95,Maunabo,1,10,432
2000,95,Maunabo,1,11,380
2001,95,Maunabo,1,11,378
2002,95,Maunabo,1,11,373
2003,95,Maunabo,1,11,367
2004,95,Maunabo,1,11,367
2005,95,Maunabo,1,11,366
2006,95,Maunabo,1,11,366
2007,95,Maunabo,1,11,369
2008,95,Maunabo,1,11,371
2009,95,Maunabo,1,11,372
2000,95,Maunabo,1,12,300
2001,95,Maunabo,1,12,317
2002,95,Maunabo,1,12,331
2003,95,Maunabo,1,12,346
2004,95,Maunabo,1,12,357
2005,95,Maunabo,1,12,366
2006,95,Maunabo,1,12,369
2007,95,Maunabo,1,12,369
2008,95,Maunabo,1,12,370
2009,95,Maunabo,1,12,371
2000,95,Maunabo,1,13,293
2001,95,Maunabo,1,13,295
2002,95,Maunabo,1,13,301
2003,95,Maunabo,1,13,309
2004,95,Maunabo,1,13,317
2005,95,Maunabo,1,13,328
2006,95,Maunabo,1,13,342
2007,95,Maunabo,1,13,357
2008,95,Maunabo,1,13,367
2009,95,Maunabo,1,13,376
2000,95,Maunabo,1,14,213
2001,95,Maunabo,1,14,222
2002,95,Maunabo,1,14,234
2003,95,Maunabo,1,14,245
2004,95,Maunabo,1,14,256
2005,95,Maunabo,1,14,263
2006,95,Maunabo,1,14,270
2007,95,Maunabo,1,14,282
2008,95,Maunabo,1,14,292
2009,95,Maunabo,1,14,304
2000,95,Maunabo,1,15,139
2001,95,Maunabo,1,15,146
2002,95,Maunabo,1,15,158
2003,95,Maunabo,1,15,168
2004,95,Maunabo,1,15,178
2005,95,Maunabo,1,15,191
2006,95,Maunabo,1,15,204
2007,95,Maunabo,1,15,215
2008,95,Maunabo,1,15,226
2009,95,Maunabo,1,15,238
2000,95,Maunabo,1,16,117
2001,95,Maunabo,1,16,119
2002,95,Maunabo,1,16,121
2003,95,Maunabo,1,16,125
2004,95,Maunabo,1,16,127
2005,95,Maunabo,1,16,128
2006,95,Maunabo,1,16,131
2007,95,Maunabo,1,16,135
2008,95,Maunabo,1,16,137
2009,95,Maunabo,1,16,141
2000,95,Maunabo,1,17,83
2001,95,Maunabo,1,17,82
2002,95,Maunabo,1,17,83
2003,95,Maunabo,1,17,81
2004,95,Maunabo,1,17,80
2005,95,Maunabo,1,17,79
2006,95,Maunabo,1,17,78
2007,95,Maunabo,1,17,77
2008,95,Maunabo,1,17,76
2009,95,Maunabo,1,17,74
2000,95,Maunabo,1,18,106
2001,95,Maunabo,1,18,103
2002,95,Maunabo,1,18,100
2003,95,Maunabo,1,18,98
2004,95,Maunabo,1,18,98
2005,95,Maunabo,1,18,97
2006,95,Maunabo,1,18,97
2007,95,Maunabo,1,18,97
2008,95,Maunabo,1,18,97
2009,95,Maunabo,1,18,96
2000,95,Maunabo,2,0,6459
2001,95,Maunabo,2,0,6458
2002,95,Maunabo,2,0,6455
2003,95,Maunabo,2,0,6442
2004,95,Maunabo,2,0,6433
2005,95,Maunabo,2,0,6416
2006,95,Maunabo,2,0,6377
2007,95,Maunabo,2,0,6328
2008,95,Maunabo,2,0,6277
2009,95,Maunabo,2,0,6222
2000,95,Maunabo,2,1,461
2001,95,Maunabo,2,1,453
2002,95,Maunabo,2,1,442
2003,95,Maunabo,2,1,429
2004,95,Maunabo,2,1,414
2005,95,Maunabo,2,1,402
2006,95,Maunabo,2,1,385
2007,95,Maunabo,2,1,370
2008,95,Maunabo,2,1,358
2009,95,Maunabo,2,1,347
2000,95,Maunabo,2,2,540
2001,95,Maunabo,2,2,533
2002,95,Maunabo,2,2,523
2003,95,Maunabo,2,2,511
2004,95,Maunabo,2,2,498
2005,95,Maunabo,2,2,484
2006,95,Maunabo,2,2,467
2007,95,Maunabo,2,2,448
2008,95,Maunabo,2,2,425
2009,95,Maunabo,2,2,403
2000,95,Maunabo,2,3,593
2001,95,Maunabo,2,3,583
2002,95,Maunabo,2,3,571
2003,95,Maunabo,2,3,557
2004,95,Maunabo,2,3,545
2005,95,Maunabo,2,3,524
2006,95,Maunabo,2,3,508
2007,95,Maunabo,2,3,488
2008,95,Maunabo,2,3,468
2009,95,Maunabo,2,3,446
2000,95,Maunabo,2,4,528
2001,95,Maunabo,2,4,517
2002,95,Maunabo,2,4,506
2003,95,Maunabo,2,4,499
2004,95,Maunabo,2,4,495
2005,95,Maunabo,2,4,496
2006,95,Maunabo,2,4,491
2007,95,Maunabo,2,4,484
2008,95,Maunabo,2,4,477
2009,95,Maunabo,2,4,470
2000,95,Maunabo,2,5,470
2001,95,Maunabo,2,5,477
2002,95,Maunabo,2,5,481
2003,95,Maunabo,2,5,481
2004,95,Maunabo,2,5,477
2005,95,Maunabo,2,5,469
2006,95,Maunabo,2,5,460
2007,95,Maunabo,2,5,450
2008,95,Maunabo,2,5,447
2009,95,Maunabo,2,5,444
2000,95,Maunabo,2,6,459
2001,95,Maunabo,2,6,447
2002,95,Maunabo,2,6,442
2003,95,Maunabo,2,6,439
2004,95,Maunabo,2,6,437
2005,95,Maunabo,2,6,435
2006,95,Maunabo,2,6,428
2007,95,Maunabo,2,6,417
2008,95,Maunabo,2,6,402
2009,95,Maunabo,2,6,383
2000,95,Maunabo,2,7,472
2001,95,Maunabo,2,7,455
2002,95,Maunabo,2,7,440
2003,95,Maunabo,2,7,425
2004,95,Maunabo,2,7,411
2005,95,Maunabo,2,7,399
2006,95,Maunabo,2,7,383
2007,95,Maunabo,2,7,372
2008,95,Maunabo,2,7,363
2009,95,Maunabo,2,7,354
2000,95,Maunabo,2,8,389
2001,95,Maunabo,2,8,394
2002,95,Maunabo,2,8,394
2003,95,Maunabo,2,8,393
2004,95,Maunabo,2,8,389
2005,95,Maunabo,2,8,385
2006,95,Maunabo,2,8,383
2007,95,Maunabo,2,8,384
2008,95,Maunabo,2,8,388
2009,95,Maunabo,2,8,389
2000,95,Maunabo,2,9,419
2001,95,Maunabo,2,9,423
2002,95,Maunabo,2,9,426
2003,95,Maunabo,2,9,432
2004,95,Maunabo,2,9,438
2005,95,Maunabo,2,9,441
2006,95,Maunabo,2,9,443
2007,95,Maunabo,2,9,441
2008,95,Maunabo,2,9,433
2009,95,Maunabo,2,9,427
2000,95,Maunabo,2,10,371
2001,95,Maunabo,2,10,374
2002,95,Maunabo,2,10,378
2003,95,Maunabo,2,10,379
2004,95,Maunabo,2,10,379
2005,95,Maunabo,2,10,382
2006,95,Maunabo,2,10,381
2007,95,Maunabo,2,10,378
2008,95,Maunabo,2,10,378
2009,95,Maunabo,2,10,378
2000,95,Maunabo,2,11,418
2001,95,Maunabo,2,11,417
2002,95,Maunabo,2,11,412
2003,95,Maunabo,2,11,411
2004,95,Maunabo,2,11,410
2005,95,Maunabo,2,11,410
2006,95,Maunabo,2,11,413
2007,95,Maunabo,2,11,416
2008,95,Maunabo,2,11,419
2009,95,Maunabo,2,11,420
2000,95,Maunabo,2,12,325
2001,95,Maunabo,2,12,339
2002,95,Maunabo,2,12,355
2003,95,Maunabo,2,12,366
2004,95,Maunabo,2,12,376
2005,95,Maunabo,2,12,386
2006,95,Maunabo,2,12,388
2007,95,Maunabo,2,12,387
2008,95,Maunabo,2,12,385
2009,95,Maunabo,2,12,385
2000,95,Maunabo,2,13,261
2001,95,Maunabo,2,13,274
2002,95,Maunabo,2,13,291
2003,95,Maunabo,2,13,307
2004,95,Maunabo,2,13,326
2005,95,Maunabo,2,13,343
2006,95,Maunabo,2,13,365
2007,95,Maunabo,2,13,389
2008,95,Maunabo,2,13,408
2009,95,Maunabo,2,13,425
2000,95,Maunabo,2,14,203
2001,95,Maunabo,2,14,215
2002,95,Maunabo,2,14,228
2003,95,Maunabo,2,14,242
2004,95,Maunabo,2,14,259
2005,95,Maunabo,2,14,271
2006,95,Maunabo,2,14,284
2007,95,Maunabo,2,14,299
2008,95,Maunabo,2,14,317
2009,95,Maunabo,2,14,332
2000,95,Maunabo,2,15,165
2001,95,Maunabo,2,15,169
2002,95,Maunabo,2,15,177
2003,95,Maunabo,2,15,181
2004,95,Maunabo,2,15,185
2005,95,Maunabo,2,15,196
2006,95,Maunabo,2,15,202
2007,95,Maunabo,2,15,207
2008,95,Maunabo,2,15,212
2009,95,Maunabo,2,15,220
2000,95,Maunabo,2,16,149
2001,95,Maunabo,2,16,149
2002,95,Maunabo,2,16,147
2003,95,Maunabo,2,16,146
2004,95,Maunabo,2,16,144
2005,95,Maunabo,2,16,142
2006,95,Maunabo,2,16,141
2007,95,Maunabo,2,16,140
2008,95,Maunabo,2,16,138
2009,95,Maunabo,2,16,136
2000,95,Maunabo,2,17,122
2001,95,Maunabo,2,17,123
2002,95,Maunabo,2,17,125
2003,95,Maunabo,2,17,125
2004,95,Maunabo,2,17,127
2005,95,Maunabo,2,17,125
2006,95,Maunabo,2,17,124
2007,95,Maunabo,2,17,123
2008,95,Maunabo,2,17,119
2009,95,Maunabo,2,17,118
2000,95,Maunabo,2,18,114
2001,95,Maunabo,2,18,116
2002,95,Maunabo,2,18,117
2003,95,Maunabo,2,18,119
2004,95,Maunabo,2,18,123
2005,95,Maunabo,2,18,126
2006,95,Maunabo,2,18,131
2007,95,Maunabo,2,18,135
2008,95,Maunabo,2,18,140
2009,95,Maunabo,2,18,145
2000,97,Mayagüez,0,0,98329
2001,97,Mayagüez,0,0,97845
2002,97,Mayagüez,0,0,97223
2003,97,Mayagüez,0,0,96511
2004,97,Mayagüez,0,0,95735
2005,97,Mayagüez,0,0,94791
2006,97,Mayagüez,0,0,93600
2007,97,Mayagüez,0,0,92339
2008,97,Mayagüez,0,0,91114
2009,97,Mayagüez,0,0,89945
2000,97,Mayagüez,0,1,6280
2001,97,Mayagüez,0,1,6165
2002,97,Mayagüez,0,1,6009
2003,97,Mayagüez,0,1,5820
2004,97,Mayagüez,0,1,5641
2005,97,Mayagüez,0,1,5453
2006,97,Mayagüez,0,1,5233
2007,97,Mayagüez,0,1,5042
2008,97,Mayagüez,0,1,4883
2009,97,Mayagüez,0,1,4735
2000,97,Mayagüez,0,2,6454
2001,97,Mayagüez,0,2,6355
2002,97,Mayagüez,0,2,6247
2003,97,Mayagüez,0,2,6111
2004,97,Mayagüez,0,2,5956
2005,97,Mayagüez,0,2,5782
2006,97,Mayagüez,0,2,5590
2007,97,Mayagüez,0,2,5355
2008,97,Mayagüez,0,2,5089
2009,97,Mayagüez,0,2,4840
2000,97,Mayagüez,0,3,6700
2001,97,Mayagüez,0,3,6628
2002,97,Mayagüez,0,3,6525
2003,97,Mayagüez,0,3,6431
2004,97,Mayagüez,0,3,6308
2005,97,Mayagüez,0,3,6129
2006,97,Mayagüez,0,3,5972
2007,97,Mayagüez,0,3,5806
2008,97,Mayagüez,0,3,5612
2009,97,Mayagüez,0,3,5404
2000,97,Mayagüez,0,4,8837
2001,97,Mayagüez,0,4,8676
