year,fips3,municipio,sex,agegrp,population
2007,1,Adjuntas,0,14,785
2008,1,Adjuntas,0,14,818
2009,1,Adjuntas,0,14,850
2000,1,Adjuntas,0,15,487
2001,1,Adjuntas,0,15,500
2002,1,Adjuntas,0,15,512
2003,1,Adjuntas,0,15,524
2004,1,Adjuntas,0,15,537
2005,1,Adjuntas,0,15,565
2006,1,Adjuntas,0,15,579
2007,1,Adjuntas,0,15,594
2008,1,Adjuntas,0,15,608
2009,1,Adjuntas,0,15,625
2000,1,Adjuntas,0,16,368
2001,1,Adjuntas,0,16,380
2002,1,Adjuntas,0,16,389
2003,1,Adjuntas,0,16,399
2004,1,Adjuntas,0,16,407
2005,1,Adjuntas,0,16,411
2006,1,Adjuntas,0,16,424
2007,1,Adjuntas,0,16,438
2008,1,Adjuntas,0,16,449
2009,1,Adjuntas,0,16,458
2000,1,Adjuntas,0,17,265
2001,1,Adjuntas,0,17,270
2002,1,Adjuntas,0,17,281
2003,1,Adjuntas,0,17,287
2004,1,Adjuntas,0,17,289
2005,1,Adjuntas,0,17,299
2006,1,Adjuntas,0,17,298
2007,1,Adjuntas,0,17,301
2008,1,Adjuntas,0,17,304
2009,1,Adjuntas,0,17,306
2000,1,Adjuntas,0,18,276
2001,1,Adjuntas,0,18,273
2002,1,Adjuntas,0,18,271
2003,1,Adjuntas,0,18,269
2004,1,Adjuntas,0,18,271
2005,1,Adjuntas,0,18,275
2006,1,Adjuntas,0,18,278
2007,1,Adjuntas,0,18,282
2008,1,Adjuntas,0,18,286
2009,1,Adjuntas,0,18,291
2000,1,Adjuntas,1,0,9374
2001,1,Adjuntas,1,0,9433
2002,1,Adjuntas,1,0,9489
2003,1,Adjuntas,1,0,9524
2004,1,Adjuntas,1,0,9561
2005,1,Adjuntas,1,0,9597
2006,1,Adjuntas,1,0,9588
2007,1,Adjuntas,1,0,9574
2008,1,Adjuntas,1,0,9555
2009,1,Adjuntas,1,0,9533
2000,1,Adjuntas,1,1,710
2001,1,Adjuntas,1,1,704
2002,1,Adjuntas,1,1,694
2003,1,Adjuntas,1,1,682
2004,1,Adjuntas,1,1,668
2005,1,Adjuntas,1,1,656
2006,1,Adjuntas,1,1,640
2007,1,Adjuntas,1,1,625
2008,1,Adjuntas,1,1,616
2009,1,Adjuntas,1,1,609
2000,1,Adjuntas,1,2,885
2001,1,Adjuntas,1,2,875
2002,1,Adjuntas,1,2,862
2003,1,Adjuntas,1,2,848
2004,1,Adjuntas,1,2,828
2005,1,Adjuntas,1,2,805
2006,1,Adjuntas,1,2,781
2007,1,Adjuntas,1,2,751
2008,1,Adjuntas,1,2,719
2009,1,Adjuntas,1,2,688
2000,1,Adjuntas,1,3,961
2001,1,Adjuntas,1,3,951
2002,1,Adjuntas,1,3,937
2003,1,Adjuntas,1,3,924
2004,1,Adjuntas,1,3,905
2005,1,Adjuntas,1,3,879
2006,1,Adjuntas,1,3,855
2007,1,Adjuntas,1,3,833
2008,1,Adjuntas,1,3,809
2009,1,Adjuntas,1,3,778
2000,1,Adjuntas,1,4,960
2001,1,Adjuntas,1,4,946
2002,1,Adjuntas,1,4,931
2003,1,Adjuntas,1,4,919
2004,1,Adjuntas,1,4,916
2005,1,Adjuntas,1,4,921
2006,1,Adjuntas,1,4,916
2007,1,Adjuntas,1,4,908
2008,1,Adjuntas,1,4,900
2009,1,Adjuntas,1,4,892
2000,1,Adjuntas,1,5,737
2001,1,Adjuntas,1,5,753
2002,1,Adjuntas,1,5,763
2003,1,Adjuntas,1,5,767
