period,region,sex,e0
2015-2019,Camuy,2,84.7352147050515
2020-2024,Camuy,2,85.05551126676613
1980-1984,Canovanas,2,78.37444856894038
1985-1989,Canovanas,2,78.0951941498033
1990-1994,Canovanas,2,78.52653323176882
1995-1999,Canovanas,2,78.07426279498246
2000-2004,Canovanas,2,80.20024440877444
2005-2009,Canovanas,2,81.72384435890051
2010-2014,Canovanas,2,82.21482317960017
2015-2019,Canovanas,2,83.68643552681361
2020-2024,Canovanas,2,84.25944006917813
1980-1984,Carolina,2,79.6539794804455
1985-1989,Carolina,2,79.82274589865659
1990-1994,Carolina,2,79.52460970034664
1995-1999,Carolina,2,80.22889345964975
2000-2004,Carolina,2,81.83256284522929
2005-2009,Carolina,2,82.94406220049515
2010-2014,Carolina,2,84.26938672074422
2015-2019,Carolina,2,86.13489616172178
2020-2024,Carolina,2,85.59471284280248
1980-1984,Catano,2,76.91522982489579
1985-1989,Catano,2,78.14773090900977
1990-1994,Catano,2,78.32829523882334
1995-1999,Catano,2,78.6245597856287
2000-2004,Catano,2,80.1263789466179
2005-2009,Catano,2,81.93863125715659
2010-2014,Catano,2,83.08892644702811
2015-2019,Catano,2,84.94117583375882
2020-2024,Catano,2,84.84796268373634
1980-1984,Cayey,2,77.86792507432101
1985-1989,Cayey,2,78.58003257694048
1990-1994,Cayey,2,78.862197312462
1995-1999,Cayey,2,79.3043519700657
2000-2004,Cayey,2,80.79803153251792
2005-2009,Cayey,2,81.92467036894443
2010-2014,Cayey,2,83.41340328985027
2015-2019,Cayey,2,85.15722706141301
2020-2024,Cayey,2,86.407709108518
1980-1984,Ceiba,2,77.61777021360822
1985-1989,Ceiba,2,78.11038015684319
1990-1994,Ceiba,2,78.46289706625993
1995-1999,Ceiba,2,78.59030482676391
2000-2004,Ceiba,2,80.40883986336537
2005-2009,Ceiba,2,81.56991621050304
2010-2014,Ceiba,2,82.22123804897464
2015-2019,Ceiba,2,84.45311623922947
2020-2024,Ceiba,2,83.8388670748589
1980-1984,Ciales,2,78.84379874354471
1985-1989,Ciales,2,79.14239580148627
1990-1994,Ciales,2,79.49939557041914
1995-1999,Ciales,2,79.81902431065582
2000-2004,Ciales,2,81.28542780216455
2005-2009,Ciales,2,82.27311519660343
2010-2014,Ciales,2,83.4659449468219
2015-2019,Ciales,2,85.32219823685293
2020-2024,Ciales,2,84.66421322113104
1980-1984,Cidra,2,79.69148742631108
1985-1989,Cidra,2,79.52203181013958
1990-1994,Cidra,2,79.67541019391997
1995-1999,Cidra,2,80.715875215406
2000-2004,Cidra,2,82.29504253525634
2005-2009,Cidra,2,83.04070179889587
2010-2014,Cidra,2,83.60201352147256
2015-2019,Cidra,2,85.30374974413866
2020-2024,Cidra,2,85.35664417945226
1980-1984,Coamo,2,78.46691857391527
1985-1989,Coamo,2,78.4924358742078
1990-1994,Coamo,2,79.29440493521038
1995-1999,Coamo,2,79.07129828361869
2000-2004,Coamo,2,80.97159953481142
2005-2009,Coamo,2,82.02036013201783
2010-2014,Coamo,2,82.59655197889455
2015-2019,Coamo,2,84.53727486045481
2020-2024,Coamo,2,85.0094770841754
1980-1984,Comerio,2,79.0143300241447
1985-1989,Comerio,2,79.11118025260986
1990-1994,Comerio,2,79.0604181538922
1995-1999,Comerio,2,79.13680979709957
2000-2004,Comerio,2,80.82565181243342
2005-2009,Comerio,2,81.91239052267902
2010-2014,Comerio,2,83.14032814574593
2015-2019,Comerio,2,84.64530225659288
2020-2024,Comerio,2,84.23308832685709
1980-1984,Corozal,2,78.63331707607352
1985-1989,Corozal,2,78.75073910215202
1990-1994,Corozal,2,79.20724045825318
1995-1999,Corozal,2,80.09516438026724
2000-2004,Corozal,2,81.82850512909641
2005-2009,Corozal,2,81.9158925056541
2010-2014,Corozal,2,83.64820804822536
2015-2019,Corozal,2,84.7095868191167
2020-2024,Corozal,2,85.40273656854448
1980-1984,Culebra,2,79.18888272436392
1985-1989,Culebra,2,79.58001170073807
1990-1994,Culebra,2,79.81138050539681
1995-1999,Culebra,2,80.31151563828344
2000-2004,Culebra,2,81.799684526157165
2005-2009,Culebra,2,82.78794217812214
2010-2014,Culebra,2,83.74580829675891
2015-2019,Culebra,2,85.159415222545
