period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,70.51282051282051,46.15384615384615,24.358974358974358,23.076923076923077,6.41025641025641
1980-1984,2,61.53846153846154,30.76923076923077,30.76923076923077,17.94871794871795,20.51282051282051
1985-1989,1,56.41025641025641,30.76923076923077,25.64102564102564,38.46153846153847,5.128205128205128
1985-1989,2,61.53846153846154,33.33333333333333,28.205128205128204,17.94871794871795,20.51282051282051
1990-1994,1,42.30769230769231,21.794871794871796,20.51282051282051,52.56410256410257,5.128205128205128
1990-1994,2,66.66666666666666,37.17948717948718,29.48717948717949,24.358974358974358,8.974358974358974
1995-1999,1,35.8974358974359,19.230769230769234,16.666666666666664,58.97435897435898,5.128205128205128
1995-1999,2,62.82051282051282,42.30769230769231,20.51282051282051,14.102564102564102,23.076923076923077
2000-2004,1,55.12820512820513,32.05128205128205,23.076923076923077,35.8974358974359,8.974358974358974
2000-2004,2,60.256410256410255,17.94871794871795,42.30769230769231,5.128205128205128,34.61538461538461
2005-2009,1,50,26.923076923076923,23.076923076923077,33.33333333333333,16.666666666666664
2005-2009,2,43.58974358974359,16.666666666666664,26.923076923076923,2.564102564102564,53.84615384615385
2010-2014,1,51.28205128205128,28.205128205128204,23.076923076923077,35.8974358974359,12.82051282051282
2010-2014,2,33.33333333333333,10.256410256410255,23.076923076923077,5.128205128205128,61.53846153846154
2015-2019,1,48.717948717948715,29.48717948717949,19.230769230769234,32.05128205128205,19.230769230769234
2015-2019,2,23.076923076923077,5.128205128205128,17.94871794871795,3.8461538461538463,73.07692307692307
2020-2024,1,33.33333333333333,17.94871794871795,15.384615384615385,61.53846153846154,5.128205128205128
2020-2024,2,23.076923076923077,6.41025641025641,16.666666666666664,3.8461538461538463,73.07692307692307
