period,sex,cobertura
1980-1984,1,70.51282051282051
1980-1984,2,61.53846153846154
1985-1989,1,56.41025641025641
1985-1989,2,61.53846153846154
1990-1994,1,42.30769230769231
1990-1994,2,66.66666666666666
1995-1999,1,35.8974358974359
1995-1999,2,62.82051282051282
2000-2004,1,55.12820512820513
2000-2004,2,60.256410256410255
2005-2009,1,50
2005-2009,2,43.58974358974359
2010-2014,1,51.28205128205128
2010-2014,2,33.33333333333333
2015-2019,1,48.717948717948715
2015-2019,2,23.076923076923077
2020-2024,1,33.33333333333333
2020-2024,2,23.076923076923077
