period,sex,cobertura
1980-1984,2,0
1985-1989,2,0
1990-1994,2,0
1995-1999,2,0
2000-2004,2,0
2005-2009,2,0
2010-2014,2,0
2015-2019,2,0
2020-2024,2,0
