period,sex,cobertura
1980-1984,1,84.61538461538461
1980-1984,2,78.2051282051282
1985-1989,1,89.74358974358975
1985-1989,2,87.17948717948718
1990-1994,1,82.05128205128204
1990-1994,2,88.46153846153845
1995-1999,1,69.23076923076923
1995-1999,2,91.02564102564102
2000-2004,1,74.35897435897436
2000-2004,2,97.43589743589743
2005-2009,1,71.7948717948718
2005-2009,2,92.3076923076923
2010-2014,1,76.92307692307693
2010-2014,2,94.87179487179486
2015-2019,1,82.05128205128204
2015-2019,2,91.02564102564102
2020-2024,1,71.7948717948718
2020-2024,2,83.33333333333334
