period,sex,cobertura
1980-1984,1,71.7948717948718
1980-1984,2,69.23076923076923
1985-1989,1,80.76923076923077
1985-1989,2,85.8974358974359
1990-1994,1,80.76923076923077
1990-1994,2,88.46153846153845
1995-1999,1,71.7948717948718
1995-1999,2,88.46153846153845
2000-2004,1,75.64102564102564
2000-2004,2,96.15384615384616
2005-2009,1,73.07692307692307
2005-2009,2,93.58974358974359
2010-2014,1,78.2051282051282
2010-2014,2,93.58974358974359
2015-2019,1,82.05128205128204
2015-2019,2,94.87179487179486
2020-2024,1,73.07692307692307
2020-2024,2,85.8974358974359
