period,sex,cobertura
1980-1984,1,0
1985-1989,1,0
1990-1994,1,0
1995-1999,1,0
2000-2004,1,0
2005-2009,1,0
2010-2014,1,0
2015-2019,1,0
2020-2024,1,0
