reg_code	age	include_code	1980	1985	1990	1995	2000	2005	2010	2015	2020
72001	0-4	2	0.00265229164033892	0.00234842150981266	0.00218863814204899	0.0018026323483442	0.00181483873311473	0.00151312733092467	0.00140699363704483	0.00108300163556273	0.00112002129042782
72001	5-9	2	0.000127806687664464	0.000124296379931905	0.000121564066689108	0.000113397430268248	9.83792727458786e-05	9.14438150426762e-05	8.34921445779741e-05	7.46849331904905e-05	7.56903828282132e-05
72001	10-14	2	0.000148431363920134	0.000144449382591291	0.000147982706781584	0.000151506359144771	0.00011995196498445	0.000116920422776033	0.000102009728770371	9.14769177910638e-05	9.25631533774372e-05
72001	15-19	2	0.00054648746479831	0.000491704956938106	0.000462282310077071	0.000472020167614096	0.000397282749385736	0.00035634988024722	0.00034296478414502	0.000309790251473568	0.000301059436330974
72001	20-24	2	0.000862108222066676	0.000842055465097177	0.000826225153250355	0.000992793083059968	0.000774101074685102	0.000730532619064239	0.000592494793308558	0.000562711783787815	0.000544669970645946
72001	25-29	2	0.00111420184374937	0.00116641214121753	0.00114464977869587	0.00100572711311772	0.000924141234101202	0.000854698423861585	0.000796967429800556	0.000670272552337069	0.000710368047912318
72001	30-34	2	0.00131665724219199	0.00132575409261366	0.00124426929830601	0.00131835937902901	0.00117139777196891	0.00105848304505425	0.000936645891878818	0.000786594049024715	0.000878755331297627
72001	35-39	2	0.00160414745441313	0.00154181998242923	0.00155543767798125	0.00146237522311107	0.00124918178927877	0.00123710892509327	0.00114043919843116	0.000993410824145648	0.000972375409061208
72001	40-44	2	0.0020732929715611	0.00204419404192101	0.00196005301840105	0.00195797116980661	0.00172204509761322	0.00155693734164172	0.00131173184870436	0.00131181044512569	0.00131840184747209
72001	45-49	2	0.00270295940226544	0.00255292892028648	0.00311020809733343	0.00243630646333273	0.00245878693113373	0.00244782710132177	0.00171780883519209	0.00185128771084517	0.00196890364572092
72001	50-54	2	0.00408429815371108	0.00431054530705752	0.00382932848821681	0.00315924948571339	0.00258418894859337	0.00265436888411638	0.00256501023659467	0.00238055011091211	0.00289163780280528
