country_code	reg_code	name	include_code	1980	1985	1990	1995	2000	2005	2010	2015	2020
630	72001	Adjuntas	2	72.2558826811944	72.1145319858984	72.3059823723573	72.6289961805465	74.1997784757288	75.7952870534709	77.1321318539977	78.3347489936596	79.4689902835117
630	72003	Aguada	2	71.8514091152571	72.3777155069522	72.7191744414002	72.7191351786789	74.397777005259	75.4705045918114	76.7025946718242	78.5940953487163	77.8005965947281
630	72005	Aguadilla	2	70.8088910876787	71.0615221990167	71.4476916184817	71.3348391696464	73.2318692526918	73.8764968636578	75.1335681481623	76.3731678099109	76.5226020203604
630	72007	Aguas Buenas	2	72.1959860999427	72.3915421538985	73.3175322518081	73.1994955555908	74.8907931074166	75.572732185154	77.4545088075864	78.5217849708823	78.2082058701472
630	72009	Aibonito	2	71.9075026419085	72.4457413726988	72.8780590439761	72.5913767285915	74.1611515867668	74.9409853411241	76.0141238036315	78.0947488535102	79.1166140182605
630	72011	Añasco	2	71.3714455803132	71.3145034920745	71.3112534023127	71.9941027389193	74.0758779392187	75.1383205451989	75.8764649051761	77.4595941010409	77.5548548162895
630	72013	Arecibo	2	70.9421246702128	70.749988273987	71.3415563962251	71.229658551933	72.9471376188212	73.8349549422267	74.9680990420316	77.0259045031086	76.7031421400164
630	72015	Arroyo	2	70.5175214568906	70.60913519727	71.4781129517822	71.1849116519821	73.0889559083784	73.9778252399473	74.8926099672397	76.5285588702306	76.8083765947248
630	72017	Barceloneta	2	70.8287504268656	71.8771231756652	71.8079203550008	71.3786710509879	73.610731407537	75.0573595608638	75.8499017068814	77.2614657239316	77.0307903766161
630	72019	Barranquitas	2	71.7618069018068	71.8556130710887	72.188370759977	71.7685394168244	74.2008445464635	75.3975057993304	76.0013709510823	78.3335153873088	78.66912210907
630	72021	Bayamón	2	72.0200343886623	72.2234906007863	72.1105115905363	72.3513647517431	74.1835926948058	75.2001302375619	76.295561355354	77.6407840568809	77.3377357774742
630	72023	Cabo Rojo	2	72.351557911966	72.9597278933095	73.1981153661086	72.9168120521211	74.6407379285674	75.7703242143123	76.3503939808302	78.1924697504746	78.2668141209654
630	72025	Caguas	2	72.1211024158444	71.8010536676301	71.3418137643127	71.8381240987171	73.9415549366067	75.4875628717858	75.5773426288352	77.6850922288363	77.0013901520945
630	72027	Camuy	2	71.5086834452838	72.183644062573	72.0351821396493	72.7412137228842	74.396241195827	75.2250841026319	76.2132428663614	77.5369664552643	77.5473211932853
630	72029	Canóvanas	2	72.1555269418276	71.5849667937619	70.9783473473901	70.5708229270602	72.9955912907804	74.4370919613361	75.2151937700226	76.7556497287618	76.6269229918168
630	72031	Carolina	2	73.2584580610763	72.7641793104191	72.1011355948647	72.818165494252	74.7562355657539	75.5121874900397	76.3790087899412	78.3698192308761	78.4342522916393
630	72033	Cataño	2	68.2964868518286	69.2786386474547	68.9525136998135	69.6273295948328	72.0953137577367	73.1350199874038	74.8207340731934	76.2843278244645	76.2448612373738
630	72035	Cayey	2	71.2511238724937	71.1042518234493	71.4660429815941	71.9209867089174	74.0582847972182	74.9541528147523	75.8961053489753	78.1435979167051	78.7704670636119
630	72037	Ceiba	2	71.455487042451	71.5587822175113	71.9195543637194	72.2677419976854	73.9255968764942	75.060705871626	75.6508336657779	77.4561040939824	76.9020421201025
630	72039	Ciales	2	72.7413650009517	72.9892390794538	73.0463521887958	72.8502806635527	74.3816397301748	75.7528055784808	76.9446042558118	78.60375050769	78.581586718868
630	72041	Cidra	2	73.5499255248524	73.2261686871519	73.7343354436529	74.1801168908828	75.8733782733292	76.453439552374	77.6524892061188	78.8026227746183	78.701647193806
630	72043	Coamo	2	71.8772744060626	71.8928525055346	72.4338463266113	72.3459284362312	73.8435055295448	75.567724717492	76.20914175047	77.426086420866	78.479005970746
