period,region,sex,e0
1980-1984,Adjuntas,1,72.25588268119438
1980-1984,Adjuntas,2,78.97217514767429
1985-1989,Adjuntas,1,72.1145319858984
1985-1989,Adjuntas,2,78.83600247054058
1990-1994,Adjuntas,1,72.30598237235729
1990-1994,Adjuntas,2,79.01808635721375
1995-1999,Adjuntas,1,72.6289961805465
1995-1999,Adjuntas,2,79.32496044147798
2000-2004,Adjuntas,1,74.19977847572878
2000-2004,Adjuntas,2,80.81984441712967
2005-2009,Adjuntas,1,75.79528705347093
2005-2009,Adjuntas,2,82.33812919758685
2010-2014,Adjuntas,1,77.13213185399769
2010-2014,Adjuntas,2,83.62037519606666
2015-2019,Adjuntas,1,78.33474899365963
2015-2019,Adjuntas,2,84.77788725001862
2020-2024,Adjuntas,1,79.46899028351169
2020-2024,Adjuntas,2,85.85342961129281
1980-1984,Aguada,1,71.85140911525711
1980-1984,Aguada,2,78.5901069531294
1985-1989,Aguada,1,72.37771550695224
1985-1989,Aguada,2,79.08892254407026
1990-1994,Aguada,1,72.71917444140018
1990-1994,Aguada,2,79.41271690895208
1995-1999,Aguada,1,72.71913517867888
1995-1999,Aguada,2,79.41243038234117
2000-2004,Aguada,1,74.39777700525894
2000-2004,Aguada,2,81.01133810250627
2005-2009,Aguada,1,75.47050459181142
2005-2009,Aguada,2,82.02665818127237
2010-2014,Aguada,1,76.70259467182422
2010-2014,Aguada,2,83.209096009368
2015-2019,Aguada,1,78.59409534871631
2015-2019,Aguada,2,85.01432255429549
2020-2024,Aguada,1,77.8005965947281
2020-2024,Aguada,2,84.2533731266698
1980-1984,Aguadilla,1,70.80889108767873
1980-1984,Aguadilla,2,77.59241588892165
1985-1989,Aguadilla,1,71.06152219901675
1985-1989,Aguadilla,2,77.833089181243
1990-1994,Aguadilla,1,71.44769161848174
1990-1994,Aguadilla,2,78.20032992229119
1995-1999,Aguadilla,1,71.33483916964636
1995-1999,Aguadilla,2,78.09605730467979
2000-2004,Aguadilla,1,73.23186925269184
2000-2004,Aguadilla,2,79.89867303266905
2005-2009,Aguadilla,1,73.87649686365785
2005-2009,Aguadilla,2,80.51570760036456
2010-2014,Aguadilla,1,75.13356814816227
2010-2014,Aguadilla,2,81.7115100204231
2015-2019,Aguadilla,1,76.37316780991094
2015-2019,Aguadilla,2,82.88713718199045
2020-2024,Aguadilla,1,76.5226020203604
2020-2024,Aguadilla,2,83.02940509042546
1980-1984,Aguas Buenas,1,72.1959860999427
1980-1984,Aguas Buenas,2,78.91492050541909
1985-1989,Aguas Buenas,1,72.39154215389853
1985-1989,Aguas Buenas,2,79.09928740089272
1990-1994,Aguas Buenas,1,73.31753225180813
1990-1994,Aguas Buenas,2,79.98119673169474
1995-1999,Aguas Buenas,1,73.19949555559084
1995-1999,Aguas Buenas,2,79.86606492190376
2000-2004,Aguas Buenas,1,74.89079310741663
2000-2004,Aguas Buenas,2,81.4765515268379
2005-2009,Aguas Buenas,1,75.57273218515404
2005-2009,Aguas Buenas,2,82.1249641320466
2010-2014,Aguas Buenas,1,77.45450880758635
2010-2014,Aguas Buenas,2,83.92632679609156
2015-2019,Aguas Buenas,1,78.52178497088225
2015-2019,Aguas Buenas,2,84.9391344566739
2020-2024,Aguas Buenas,1,78.20820587014724
2020-2024,Aguas Buenas,2,84.64252129779531
1980-1984,Aibonito,1,71.9075026419085
1980-1984,Aibonito,2,78.64083775246037
1985-1989,Aibonito,1,72.4457413726988
1985-1989,Aibonito,2,79.15130842637527
1990-1994,Aibonito,1,72.87805904397614
1990-1994,Aibonito,2,79.56454725475432
1995-1999,Aibonito,1,72.5913767285915
1995-1999,Aibonito,2,79.29143717700865
2000-2004,Aibonito,1,74.1611515867668
2000-2004,Aibonito,2,80.78234396548427
2005-2009,Aibonito,1,74.94098534112406
2005-2009,Aibonito,2,81.52847953392265
2010-2014,Aibonito,1,76.01412380363155
2010-2014,Aibonito,2,82.54887107594502
2015-2019,Aibonito,1,78.09474885351021
2015-2019,Aibonito,2,84.53939120391937
2020-2024,Aibonito,1,79.1166140182605
2020-2024,Aibonito,2,85.514237875601
1980-1984,Anasco,1,71.37144558031322
1980-1984,Anasco,2,78.12905560355854
1985-1989,Anasco,1,71.3145034920745
1985-1989,Anasco,2,78.07562073396406
1990-1994,Anasco,1,71.31125340231272
1990-1994,Anasco,2,78.07543062606184
1995-1999,Anasco,1,71.99410273891931
1995-1999,Anasco,2,78.71957038429292
2000-2004,Anasco,1,74.07587793921874
2000-2004,Anasco,2,80.69894174565832
2005-2009,Anasco,1,75.13832054519888
2005-2009,Anasco,2,81.71586192613712
2010-2014,Anasco,1,75.8764649051761
2010-2014,Anasco,2,82.41470778097757
2015-2019,Anasco,1,77.45959410104089
2015-2019,Anasco,2,83.93461711164599
2020-2024,Anasco,1,77.55485481628952
2020-2024,Anasco,2,84.01952365524178
