period,sex,cobertura
1980-1984,1,73.07692307692307
1980-1984,2,62.82051282051282
1985-1989,1,78.2051282051282
1985-1989,2,57.692307692307686
1990-1994,1,66.66666666666666
1990-1994,2,55.12820512820513
1995-1999,1,61.53846153846154
1995-1999,2,67.94871794871796
2000-2004,1,88.46153846153845
2000-2004,2,57.692307692307686
2005-2009,1,73.07692307692307
2005-2009,2,64.1025641025641
2010-2014,1,67.94871794871796
2010-2014,2,60.256410256410255
2015-2019,1,76.92307692307693
2015-2019,2,78.2051282051282
2020-2024,1,56.41025641025641
2020-2024,2,71.7948717948718
