region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.018886864456453423,0.11160220632037003,0.018575190431359093,100000,1857.5190431359079,98349.78418036016,0.980924929139201,7224370.366185638,72.24370366185639
Adjuntas,1980-1984,1,1,4,4.8527596204652634e-4,1.597032951230315,0.0019388429592498734,98142.48095686409,190.28285820652673,392112.6803892404,0.9980607152160413,7126020.582005278,72.60893053169636
Adjuntas,1980-1984,1,5,5,2.0401760617985847e-4,2.5,0.001019568006339315,97952.19809865757,99.86892733200511,489511.3181749578,0.9988128692315658,6733907.901616038,68.74687890958442
Adjuntas,1980-1984,1,10,5,2.711565995361539e-4,2.5,0.0013548645465226016,97852.32917132556,132.57665158889722,488930.20422765554,0.9967978863249394,6244396.58344108,63.81449104300855
Adjuntas,1980-1984,1,15,5,0.0010129323951626097,2.5,0.005051868971469751,97719.75251973666,493.6673856541456,487364.594134548,0.994004984050716,5755466.379213424,58.897676578243285
Adjuntas,1980-1984,1,20,5,0.0013934276052687473,2.5,0.00694295177468151,97226.08513408252,675.0360203270102,484442.8356195951,0.991999908050547,5268101.785078877,54.184036905463635
Adjuntas,1980-1984,1,25,5,0.0018211787721460005,2.5,0.009064623112753875,96551.049113755507,875.1988713571918,480567.2483903846,0.9899006336586463,4783658.949459282,49.54538550713438
Adjuntas,1980-1984,1,30,5,0.002241202489380812,2.5,0.011143574927235257,95675.85024239832,1066.171005903103,475713.8236972338,0.987452648224045,4303091.701068897,44.975735153299965
Adjuntas,1980-1984,1,35,5,0.0028130343525809157,2.5,0.013966948001581674,94609.67923649521,1321.4084703424596,469744.87500661996,0.9841016013257783,3827377.8773716628,40.45440073636008
Adjuntas,1980-1984,1,40,5,0.003603616854530181,2.5,0.017857207933936945,93288.27076615275,1665.8680488685932,462276.68370859226,0.9774123566391915,3357633.002365043,35.992016732539476
Adjuntas,1980-1984,1,45,5,0.005556959100117312,2.5,0.02740408702367008,91622.40271728416,2510.8282973821915,451834.9428429653,0.9684927474094401,2895356.3186564506,31.60096475084313
Adjuntas,1980-1984,1,50,5,0.007275162312731173,2.5,0.03572602989791384,89111.57441990197,3183.602771975595,437598.86516957084,0.9559234435351406,2443521.375813485,27.42092025329265
Adjuntas,1980-1984,1,55,5,0.010832938917071275,2.5,0.05273646726392578,85927.97164792637,4531.537663866417,418311.0140799658,0.9330733245375457,2005922.510643914,23.344232060577465
Adjuntas,1980-1984,1,60,5,0.01708089905561238,2.5,0.08190688710170285,81396.43398405996,6666.928528813602,390314.8485982658,0.8980645238247926,1587611.4965639482,19.504681210909727
Adjuntas,1980-1984,1,65,5,0.026382615932274568,2.5,0.12375089858947301,74729.50545524636,9247.84345123366,350527.9186481476,0.8456061350419729,1197296.6479656824,16.021739213605713
Adjuntas,1980-1984,1,70,5,0.04183381433151546,2.5,0.18936447584850005,65481.662004012695,12399.900603078502,296408.5585123672,0.780880642932653,846768.7293175348,12.931387252596691
Adjuntas,1980-1984,1,75,5,0.05866956609830397,2.5,0.2558249791778409,53081.76140093419,13579.64050511711,231459.7057418782,0.6990522809468837,550360.1708051676,10.368159538795595
Adjuntas,1980-1984,1,80,5,0.0882759747802489,2.5,0.3615822991085234,39502.12089581708,14283.267693172384,161802.43524615446,0.4926240223135364,318900.4650632895,8.072996027336298
Adjuntas,1980-1984,1,85,NA,0.18906321057364187,6.229388329230618,1,25218.8532026447,25218.8532026447,157098.02981713507,0,157098.02981713507,6.229388329230618
Adjuntas,1980-1984,2,0,1,0.011359731019637088,0.12568268562727047,0.01124801562143665,100000,1124.8015621436643,99016.5665189843,0.98847932819012,7878311.12427602,78.7831112427602
Adjuntas,1980-1984,2,1,4,2.8169478254495324e-4,1.5056994785839226,0.00112598797562372,98875.19843785634,111.33228452842741,395223.09757607564,0.9988283501183172,7779294.557757035,78.67791600586641
Adjuntas,1980-1984,2,5,5,1.28624823870896e-4,2.5,6.429173815170771e-4,98763.86615332791,63.49700621580996,493660.58825110004,0.9993071101816547,7384071.46018096,74.76490894673374
