period,region,sex,e0
2015-2019,Camuy,1,77.9435750158251
2020-2024,Camuy,1,77.65610255563219
1980-1984,Canovanas,1,71.34619244618018
1985-1989,Canovanas,1,70.90445587475413
1990-1994,Canovanas,1,69.20722756469591
1995-1999,Canovanas,1,68.8664860654636
2000-2004,Canovanas,1,71.83737449213788
2005-2009,Canovanas,1,72.90311084077729
2010-2014,Canovanas,1,74.40825725512818
2015-2019,Canovanas,1,76.53710319741944
2020-2024,Canovanas,1,75.32525378308117
1980-1984,Carolina,1,72.44626321704537
1985-1989,Carolina,1,71.4243071058907
1990-1994,Carolina,1,70.20395751371233
1995-1999,Carolina,1,70.84461023886237
2000-2004,Carolina,1,73.91044329614073
2005-2009,Carolina,1,74.76963549472342
2010-2014,Carolina,1,75.91528056948943
2015-2019,Carolina,1,77.97422978225597
2020-2024,Carolina,1,78.26836889771177
1980-1984,Catano,1,65.93836473103389
1985-1989,Catano,1,66.51091661944838
1990-1994,Catano,1,65.27045242372554
1995-1999,Catano,1,66.24079609498027
2000-2004,Catano,1,69.79764646027589
2005-2009,Catano,1,70.47651946610604
2010-2014,Catano,1,72.6405611873525
2015-2019,Catano,1,73.9917368892383
2020-2024,Catano,1,73.46095200899396
1980-1984,Cayey,1,70.9820199969841
1985-1989,Cayey,1,69.85865722984369
1990-1994,Cayey,1,69.91889590575897
1995-1999,Cayey,1,70.50247986788634
2000-2004,Cayey,1,73.43468642587314
2005-2009,Cayey,1,74.49156788900692
2010-2014,Cayey,1,75.52679679224192
2015-2019,Cayey,1,78.05698932535853
2020-2024,Cayey,1,78.83847924657734
1980-1984,Ceiba,1,71.60341445776506
1985-1989,Ceiba,1,70.816670240592
1990-1994,Ceiba,1,70.93886059631377
1995-1999,Ceiba,1,71.47765158479862
2000-2004,Ceiba,1,73.65258284693562
2005-2009,Ceiba,1,74.7970089300179
2010-2014,Ceiba,1,76.22247648024337
2015-2019,Ceiba,1,77.79877621301475
2020-2024,Ceiba,1,76.48583611505234
1980-1984,Ciales,1,72.5480186695195
1985-1989,Ciales,1,72.76176501577943
1990-1994,Ciales,1,71.95206609694759
1995-1999,Ciales,1,71.88579580326096
2000-2004,Ciales,1,73.82022142802934
2005-2009,Ciales,1,75.0476419874645
2010-2014,Ciales,1,76.4872009065118
2015-2019,Ciales,1,78.76206069452216
2020-2024,Ciales,1,77.97853831522
1980-1984,Cidra,1,73.20981023679214
1985-1989,Cidra,1,72.71136966137914
1990-1994,Cidra,1,73.56187868785808
1995-1999,Cidra,1,73.58583076840775
2000-2004,Cidra,1,75.53493821672745
2005-2009,Cidra,1,76.18521769968952
2010-2014,Cidra,1,77.52314959535724
2015-2019,Cidra,1,79.05285025582259
2020-2024,Cidra,1,79.41764356543246
1980-1984,Coamo,1,71.79400327919683
1985-1989,Coamo,1,71.3485629657939
1990-1994,Coamo,1,71.2195739062529
1995-1999,Coamo,1,71.39886441159923
2000-2004,Coamo,1,73.25372329448831
2005-2009,Coamo,1,75.41229322651327
2010-2014,Coamo,1,75.85109249815326
2015-2019,Coamo,1,76.71481666431987
2020-2024,Coamo,1,77.79192655401441
1980-1984,Comerio,1,71.98112591306102
1985-1989,Comerio,1,71.84683677862675
1990-1994,Comerio,1,71.66101433998763
1995-1999,Comerio,1,71.46744649601551
2000-2004,Comerio,1,73.7271206340534
2005-2009,Comerio,1,74.89459065675942
2010-2014,Comerio,1,76.66186413149207
2015-2019,Comerio,1,76.81996068388449
2020-2024,Comerio,1,76.34620028908358
1980-1984,Corozal,1,72.38603621349337
1985-1989,Corozal,1,72.82979194286916
1990-1994,Corozal,1,71.50514199871215
1995-1999,Corozal,1,72.05807916501121
2000-2004,Corozal,1,74.76006013487057
2005-2009,Corozal,1,75.35291813925346
2010-2014,Corozal,1,76.55518806948585
2015-2019,Corozal,1,78.0906522650557
2020-2024,Corozal,1,77.3111440981389
1980-1984,Culebra,1,73.40957026225837
1985-1989,Culebra,1,72.9206001150946
1990-1994,Culebra,1,72.4915319232338
1995-1999,Culebra,1,72.86739771781652
2000-2004,Culebra,1,75.40403799118512
2005-2009,Culebra,1,76.23752574052897
2010-2014,Culebra,1,77.33246611278952
2015-2019,Culebra,1,78.50808809414912
2020-2024,Culebra,1,78.10143748504879
1980-1984,Dorado,1,72.53023738043665
1985-1989,Dorado,1,71.06282980104699
1990-1994,Dorado,1,71.08446019326931
1995-1999,Dorado,1,71.48744251889514
2000-2004,Dorado,1,73.18593148579629
2005-2009,Dorado,1,74.88207960070251
2010-2014,Dorado,1,77.10698474571825
2015-2019,Dorado,1,78.24472207097858
2020-2024,Dorado,1,77.62031098944439
1980-1984,Fajardo,1,70.16348377260043
1985-1989,Fajardo,1,70.39560283385265
1990-1994,Fajardo,1,68.71620513913209
1995-1999,Fajardo,1,69.86089418891832
2000-2004,Fajardo,1,71.86653809135892
2005-2009,Fajardo,1,72.46808800789631
2010-2014,Fajardo,1,74.17326662739386
2015-2019,Fajardo,1,76.36212372531452
2020-2024,Fajardo,1,74.8998451057125
1980-1984,Florida,1,71.50944972978061
1985-1989,Florida,1,71.16673107948445
1990-1994,Florida,1,70.6143469426456
1995-1999,Florida,1,71.61616330647665
2000-2004,Florida,1,73.85567718863776
2005-2009,Florida,1,74.79613195279025
2010-2014,Florida,1,77.02005878449292
2015-2019,Florida,1,77.15726183052655
2020-2024,Florida,1,77.22078306820391
1980-1984,Guanica,1,69.75171029192212
1985-1989,Guanica,1,69.40468300914947
1990-1994,Guanica,1,69.06999332858867
1995-1999,Guanica,1,69.306262298634607
2000-2004,Guanica,1,71.90813338326866
2005-2009,Guanica,1,72.31121300769745
2010-2014,Guanica,1,74.43524181767235
2015-2019,Guanica,1,74.72214657391604
2020-2024,Guanica,1,74.61676581275059
1980-1984,Guayama,1,69.96760278317429
1985-1989,Guayama,1,69.33426832080421
1990-1994,Guayama,1,69.44634130345996
1995-1999,Guayama,1,69.93080051406243
2000-2004,Guayama,1,71.71350147254596
2005-2009,Guayama,1,73.51855527709563
2010-2014,Guayama,1,75.2018858399428
2015-2019,Guayama,1,76.24415110200265
2020-2024,Guayama,1,75.10087161615562
1980-1984,Guayanilla,1,71.4041424969291
1985-1989,Guayanilla,1,70.37496416489807
1990-1994,Guayanilla,1,71.0826521115062
