period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,93.58974358974359,43.58974358974359,50,3.8461538461538463,2.564102564102564
1980-1984,2,96.15384615384616,42.30769230769231,53.84615384615385,0,3.8461538461538463
1985-1989,1,94.87179487179486,48.717948717948715,46.15384615384615,1.282051282051282,3.8461538461538463
1985-1989,2,96.15384615384616,34.61538461538461,61.53846153846154,3.8461538461538463,0
1990-1994,1,94.87179487179486,50,44.871794871794876,2.564102564102564,2.564102564102564
1990-1994,2,96.15384615384616,35.8974358974359,60.256410256410255,3.8461538461538463,0
1995-1999,1,93.58974358974359,50,43.58974358974359,5.128205128205128,1.282051282051282
1995-1999,2,98.71794871794873,39.743589743589745,58.97435897435898,0,1.282051282051282
2000-2004,1,89.74358974358975,37.17948717948718,52.56410256410257,2.564102564102564,7.6923076923076925
2000-2004,2,97.43589743589743,32.05128205128205,65.38461538461539,1.282051282051282,1.282051282051282
2005-2009,1,88.46153846153845,47.43589743589743,41.02564102564102,2.564102564102564,8.974358974358974
2005-2009,2,98.71794871794873,25.64102564102564,73.07692307692307,1.282051282051282,0
2010-2014,1,88.46153846153845,42.30769230769231,46.15384615384615,6.41025641025641,5.128205128205128
2010-2014,2,97.43589743589743,24.358974358974358,73.07692307692307,1.282051282051282,1.282051282051282
2015-2019,1,92.3076923076923,37.17948717948718,55.12820512820513,5.128205128205128,2.564102564102564
2015-2019,2,98.71794871794873,39.743589743589745,58.97435897435898,1.282051282051282,0
2020-2024,1,85.8974358974359,46.15384615384615,39.743589743589745,11.538461538461538,2.564102564102564
2020-2024,2,96.15384615384616,42.30769230769231,53.84615384615385,3.8461538461538463,0
