period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,91.02564102564102,28.205128205128204,62.82051282051282,2.564102564102564,6.41025641025641
1980-1984,2,92.3076923076923,58.97435897435898,33.33333333333333,3.8461538461538463,3.8461538461538463
1985-1989,1,93.58974358974359,38.46153846153847,55.12820512820513,2.564102564102564,3.8461538461538463
1985-1989,2,93.58974358974359,37.17948717948718,56.41025641025641,6.41025641025641,0
1990-1994,1,94.87179487179486,51.28205128205128,43.58974358974359,2.564102564102564,2.564102564102564
1990-1994,2,94.87179487179486,28.205128205128204,66.66666666666666,3.8461538461538463,1.282051282051282
1995-1999,1,93.58974358974359,52.56410256410257,41.02564102564102,5.128205128205128,1.282051282051282
1995-1999,2,98.71794871794873,32.05128205128205,66.66666666666666,0,1.282051282051282
2000-2004,1,91.02564102564102,34.61538461538461,56.41025641025641,2.564102564102564,6.41025641025641
2000-2004,2,97.43589743589743,25.64102564102564,71.7948717948718,1.282051282051282,1.282051282051282
2005-2009,1,89.74358974358975,53.84615384615385,35.8974358974359,2.564102564102564,7.6923076923076925
2005-2009,2,98.71794871794873,20.51282051282051,78.2051282051282,1.282051282051282,0
2010-2014,1,91.02564102564102,47.43589743589743,43.58974358974359,5.128205128205128,3.8461538461538463
2010-2014,2,98.71794871794873,20.51282051282051,78.2051282051282,0,1.282051282051282
2015-2019,1,93.58974358974359,46.15384615384615,47.43589743589743,5.128205128205128,1.282051282051282
2015-2019,2,97.43589743589743,30.76923076923077,66.66666666666666,1.282051282051282,1.282051282051282
2020-2024,1,82.05128205128204,52.56410256410257,29.48717948717949,16.666666666666664,1.282051282051282
2020-2024,2,97.43589743589743,35.8974358974359,61.53846153846154,2.564102564102564,0
