period,sex,cobertura
1980-1984,1,3.8461538461538463
1980-1984,2,3.8461538461538463
1985-1989,1,6.41025641025641
1985-1989,2,3.8461538461538463
1990-1994,1,5.128205128205128
1990-1994,2,3.8461538461538463
1995-1999,1,1.282051282051282
1995-1999,2,5.128205128205128
2000-2004,1,5.128205128205128
2000-2004,2,3.8461538461538463
2005-2009,1,1.282051282051282
2005-2009,2,7.6923076923076925
2010-2014,1,5.128205128205128
2010-2014,2,2.564102564102564
2015-2019,1,1.282051282051282
2015-2019,2,2.564102564102564
2020-2024,1,3.8461538461538463
2020-2024,2,2.564102564102564
