region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Adjuntas,1980-1984,1,72.54189508802463,71.59662020400603,71.50419350085056,71.68393999514933,< e0 observado
Adjuntas,1980-1984,2,78.96516925394144,78.30967642988782,78.21519701215107,78.3982590321919,< e0 observado
Adjuntas,1985-1989,1,70.84999061728885,71.65440011260608,71.57656071425441,71.7462970903928,> e0 observado
Adjuntas,1985-1989,2,78.97855761762072,78.36413934748239,78.28294694860695,78.4513803135647,< e0 observado
Adjuntas,1990-1994,1,71.49310954038985,71.72571845999215,71.64370239778928,71.8086552009026,> e0 observado
Adjuntas,1990-1994,2,77.88047658335911,78.43205740748553,78.3512442091876,78.5135682013586,> e0 observado
Adjuntas,1995-1999,1,71.91080703113897,72.16944611254134,72.0986111061462,72.25149392757615,> e0 observado
Adjuntas,1995-1999,2,78.53770419818306,78.8552218835184,78.77534570101969,78.92556123333426,> e0 observado
Adjuntas,2000-2004,1,74.0807006063416,74.03087716241869,73.95318157696929,74.11231989250004,Estimación adecuada
Adjuntas,2000-2004,2,79.50851081175084,80.62061614458966,80.55326687421459,80.704615011123,> e0 observado
Adjuntas,2005-2009,1,77.13413877724005,74.9676801523481,74.89743846551553,75.04513625513326,< e0 observado
Adjuntas,2005-2009,2,82.23262377887984,81.51654762052172,81.44362372271115,81.59065910994161,< e0 observado
Adjuntas,2010-2014,1,78.0170892039493,76.11068071787997,76.03076838998844,76.18523431818845,< e0 observado
Adjuntas,2010-2014,2,84.37542750420445,82.60300628451864,82.5319506996197,82.67029722938693,< e0 observado
Adjuntas,2015-2019,1,80.07122326396828,77.6227167220739,77.55737119675346,77.69493263318785,< e0 observado
Adjuntas,2015-2019,2,84.75780508868199,84.05192794874404,83.98345613314258,84.1260667812808,< e0 observado
Adjuntas,2020-2024,1,80.09050176489524,77.59487705739792,77.52023716324342,77.67130285512681,< e0 observado
Adjuntas,2020-2024,2,87.03883394524668,84.02241589550277,83.9534822530918,84.10075061229372,< e0 observado
Aguada,1980-1984,1,73.2175687853255,71.59662020400603,71.50419350085056,71.68393999514933,< e0 observado
Aguada,1980-1984,2,76.66307974738103,78.30967642988782,78.21519701215107,78.3982590321919,> e0 observado
Aguada,1985-1989,1,73.21396709192831,71.65440011260608,71.57656071425441,71.7462970903928,< e0 observado
Aguada,1985-1989,2,77.70261010174512,78.36413934748239,78.28294694860695,78.4513803135647,> e0 observado
Aguada,1990-1994,1,73.47166304966473,71.72571845999215,71.64370239778928,71.8086552009026,< e0 observado
Aguada,1990-1994,2,79.56472305278581,78.43205740748553,78.3512442091876,78.5135682013586,< e0 observado
Aguada,1995-1999,1,72.96139718811193,72.16944611254134,72.0986111061462,72.25149392757615,< e0 observado
Aguada,1995-1999,2,78.42598214583917,78.8552218835184,78.77534570101969,78.92556123333426,> e0 observado
Aguada,2000-2004,1,75.7731265619719,74.03087716241869,73.95318157696929,74.11231989250004,< e0 observado
Aguada,2000-2004,2,80.35987918975404,80.62061614458966,80.55326687421459,80.704615011123,> e0 observado
