period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,93.58974358974359,46.15384615384615,47.43589743589743,3.8461538461538463,2.564102564102564
1980-1984,2,96.15384615384616,39.743589743589745,56.41025641025641,0,3.8461538461538463
1985-1989,1,97.43589743589743,53.84615384615385,43.58974358974359,1.282051282051282,1.282051282051282
1985-1989,2,96.15384615384616,24.358974358974358,71.7948717948718,3.8461538461538463,0
1990-1994,1,94.87179487179486,48.717948717948715,46.15384615384615,2.564102564102564,2.564102564102564
1990-1994,2,96.15384615384616,26.923076923076923,69.23076923076923,3.8461538461538463,0
1995-1999,1,93.58974358974359,50,43.58974358974359,3.8461538461538463,2.564102564102564
1995-1999,2,98.71794871794873,29.48717948717949,69.23076923076923,0,1.282051282051282
2000-2004,1,91.02564102564102,33.33333333333333,57.692307692307686,3.8461538461538463,5.128205128205128
2000-2004,2,97.43589743589743,21.794871794871796,75.64102564102564,1.282051282051282,1.282051282051282
2005-2009,1,88.46153846153845,48.717948717948715,39.743589743589745,2.564102564102564,8.974358974358974
2005-2009,2,98.71794871794873,19.230769230769234,79.48717948717949,1.282051282051282,0
2010-2014,1,87.17948717948718,43.58974358974359,43.58974358974359,6.41025641025641,6.41025641025641
2010-2014,2,98.71794871794873,19.230769230769234,79.48717948717949,0,1.282051282051282
2015-2019,1,94.87179487179486,41.02564102564102,53.84615384615385,3.8461538461538463,1.282051282051282
2015-2019,2,98.71794871794873,33.33333333333333,65.38461538461539,1.282051282051282,0
2020-2024,1,87.17948717948718,53.84615384615385,33.33333333333333,11.538461538461538,1.282051282051282
2020-2024,2,96.15384615384616,33.33333333333333,62.82051282051282,3.8461538461538463,0
