country_code	reg_code	name	include_code	1980	1985	1990	1995	2000	2005	2010	2015	2020
630	72001	Adjuntas	2	72.247521356087	71.5486836937904	71.4529655036467	72.0596323027234	73.8284228459831	75.9778642868424	76.9087809437034	79.4532289822834	79.0995112816969
630	72003	Aguada	2	72.9500643226427	72.905293113713	72.9604823362585	72.641387652457	75.1373945269208	76.6722621384278	76.9170921900806	79.1693289451112	78.1411326612797
630	72005	Aguadilla	2	71.0810450922266	70.6895680961447	70.7917124578161	70.7395566180039	73.2929301627292	74.0775796331994	75.5975230498442	76.9237488876546	76.5012648405873
630	72007	Aguas Buenas	2	71.4794055287746	71.9548905121729	71.7850905671441	72.1473654709577	74.4351982879091	75.1491568728804	77.4969000042735	77.957384998781	78.1426126683951
630	72009	Aibonito	2	71.616497956526	71.2410187718309	72.3348700417459	72.2257850467757	74.0746523347178	74.9543074928046	75.5051802724884	77.701856740864	79.1376387776416
630	72011	Añasco	2	71.6049839915085	71.3441991316535	70.6317670784172	71.2940835476505	73.9012993021108	75.8172766553682	75.9687969431163	77.6465469459218	77.382264058357
630	72013	Arecibo	2	70.9674643583967	70.3874301697328	70.6837740385272	70.443805813205	73.2514769923707	73.7625559731995	75.594106892149	77.318341515774	76.8283911614993
630	72015	Arroyo	2	69.8179121619243	69.5419292405	69.7477263155554	69.94767149057	72.4733350976204	73.5662067225059	74.2281320351566	76.2347898077455	76.755376049788
630	72017	Barceloneta	2	70.5533583199918	71.8534341924731	71.1708237949572	70.47197733622	73.591253377896	74.6733021114321	75.5088039433412	77.8308706837244	75.9795277919557
630	72019	Barranquitas	2	71.5551619140296	71.5707153333645	71.0906417787669	71.01843048549	73.875664401638	75.3147188501197	75.754948324366	78.1699629131134	77.7719494212211
630	72021	Bayamón	2	71.9951091296218	71.6112958476238	69.6281882520445	70.9249790481851	73.6188765920375	74.8031634258314	76.3752205183285	77.5174227141498	76.336869411537
630	72023	Cabo Rojo	2	72.6180727286329	72.9602372312554	72.7490570996061	72.443577382473	74.8341936535308	76.1964169886482	76.0977434167459	79.4379334485544	79.2870941564149
630	72025	Caguas	2	71.733074193861	70.4741554490981	69.1555347661805	69.9459750678883	73.1746108922164	74.6792555822838	74.8625459470929	77.2839013296449	76.352450481785
630	72027	Camuy	2	72.1724355964237	72.6632211178586	72.0411828818263	72.2291319315453	74.7794319062723	75.5120993567669	76.4351468387119	78.0653123118885	77.7920872231621
630	72029	Canóvanas	2	71.9194741737991	71.3239315017594	69.2533277613278	68.7808318920685	71.8666026533592	72.8519512418797	74.4524413076599	76.8047022236754	75.4861784147764
630	72031	Carolina	2	72.6512850838952	71.5443846092435	70.1609205448005	70.8459952238738	74.0356180129586	74.9044106422459	75.9708008526088	78.1378318962803	78.4981379133902
630	72033	Cataño	2	66.1201599749529	66.8502406097377	65.2166936277607	66.3572867966974	70.3814160603725	70.9467558611563	73.3233616663782	74.5836138089957	74.0146883577394
630	72035	Cayey	2	71.1523752292828	69.922948196277	69.8756283273715	70.5249026222204	73.6399098497722	74.526796252896	75.5729944120343	78.4020990474328	79.2540051426467
630	72037	Ceiba	2	71.5077298078187	70.6019889022394	70.739552623274	71.4814559405066	73.6209372815885	74.7800725831994	76.1970142731832	77.9151901534464	76.0956298656267
630	72039	Ciales	2	72.6855972871798	72.966091943421	72.0454645305282	71.7146986277607	73.6844662784687	74.9416869891767	76.4365967718923	79.0256743022691	78.0878290858682
630	72041	Cidra	2	73.1743128949971	72.7027287347123	73.8828968242553	73.7736178217896	75.7168496731933	76.249987530759	77.5470919306969	79.1639775891322	79.5769228068668
630	72043	Coamo	2	71.8546525420498	71.3672422403488	71.226606049445	71.3608865680191	73.3109353229012	75.7157236035935	75.9547363410633	76.6802238438663	77.988197974395
630	72045	Comerío	2	72.1188731514133	72.0230006511775	71.8884590769614	71.3767966219956	73.7462444036432	74.9477822569782	76.8570291353661	76.7549383008663	76.1535320010447
630	72047	Corozal	2	72.5304979587926	73.1592166285147	71.5623480819595	72.1483393656908	75.0045267437161	75.4747151481671	76.6825858937452	78.3110799793345	77.2547247408062
630	72049	Culebra	2	73.4473596478166	72.7707096563534	72.2988263755733	72.6125104490178	75.3975880541974	76.0518375893223	76.902455155255	78.0192413967062	77.5026051623816
630	72051	Dorado	2	72.7651880701228	71.0913861783183	71.0761392190556	71.5126028488475	73.1681346871554	74.9568885922727	77.3383708642763	78.5427569390469	77.7968766027087
630	72053	Fajardo	2	70.4398362501708	70.7977282525022	68.6905361188031	70.0024875117544	72.0186943313786	72.527494218705	74.1601815507933	76.6063125368559	74.8882381048957
630	72054	Florida	2	71.2943135908351	70.8153630720343	70.36953807273	71.5389666322215	73.8592431508662	74.7540421643912	77.3314003458746	77.0909020913325	77.1332169162411
630	72055	Guánica	2	69.8833444329927	69.4960188425598	69.0948366689254	69.3114538339557	72.038212300529	72.1551675419727	74.6064166980603	74.6666519683774	74.5103938087454
630	72057	Guayama	2	70.1869814722823	69.3971224086479	69.5174574749408	70.1152765093741	71.8865821343615	73.7424152507986	75.5638957839457	76.5206513539855	75.1448010809704
630	72059	Guayanilla	2	71.6132545669198	70.3841415759977	71.3256845847466	71.2831726557393	73.4076772578326	73.7101349228381	76.0891589149922	75.9693832446057	75.1417776678667
630	72061	Guaynabo	2	73.2202304545527	73.317062689596	71.9936047127271	72.1493499044659	74.8922229762871	75.7524051612878	77.517742469714	79.4657801594588	77.7458658937271
630	72063	Gurabo	2	72.0130396463569	72.0642981048942	70.7293077557178	72.469590744071	73.9479137505267	75.527519267317	76.1922878680482	77.9347976058248	77.8334287261653
630	72065	Hatillo	2	72.3354482359039	72.4374587799829	72.0594818785433	72.2501701155343	74.0553838933106	75.2221727378906	77.0829378936969	79.0950788580245	78.2451886085919
630	72067	Hormigueros	2	73.6172222254377	72.9785975385785	73.3242460492638	73.6449969989509	75.2083052396325	76.1742489222293	77.0204150475164	78.4151441576145	78.9085704119462
630	72069	Humacao	2	70.7798231241842	70.7589045675593	69.8613451143219	71.441931457991	73.3685944122066	73.9883694234102	75.8464306092216	77.193658865609	77.4517724365263
630	72071	Isabela	2	72.7536106118566	71.5673582040269	71.6083958646483	71.5820032589538	73.2302044430899	74.846004565903	76.0517242122568	77.8708585383214	77.5199625463525
630	72073	Jayuya	2	71.7315546120023	71.3838035018944	71.0721334178431	72.095020276337	73.7448085091878	75.4498968682525	76.9751480664073	78.1001283993489	79.2060643124865
630	72075	Juana Díaz	2	70.9717095616066	70.6260767295156	70.6091613367729	70.6655103806789	72.6243981569824	74.3066159246096	75.9588594540848	77.3367242648611	76.5763993631574
630	72077	Juncos	2	70.7147747716924	69.9173463563163	69.7484724916997	70.5566077440287	73.3382745327336	73.0941979845914	74.6729417004375	76.9472791651333	76.6010981501462
630	72079	Lajas	2	71.9942907592076	72.5071528300368	72.0203371125104	72.1221386747736	73.9491590266035	75.4688267778977	76.4315822637787	78.2126174888619	77.5382198352919
630	72081	Lares	2	71.6412871691261	72.2042654151254	71.9240277906601	73.8572215810744	74.7791824290733	75.6739921827628	78.301362551301	77.8316454922866	78.0482110478418
630	72083	Las Marías	2	73.3873440721469	73.0911318282987	73.2215048963227	73.7029853979345	75.6125385295548	76.8835723702406	77.3860318345968	79.2049096055672	78.9144431934533
630	72085	Las Piedras	2	72.6536683039014	72.3190018602243	71.7682961039215	72.9511391496744	74.5215906707984	75.8542859990237	76.4569356677826	78.35609429167	77.8932905367681
630	72087	Loíza	2	70.7893693286162	70.6622424601321	69.1870501071992	68.966319496933	71.0461891169889	71.6770876826076	74.3799572028737	76.7339500246901	75.6711252028255
630	72089	Luquillo	2	70.8916761589621	70.6921167941417	69.9686940707013	69.560038207865	72.0305633319689	73.8602936643546	74.9910619759885	77.1570948009448	76.554833377647
630	72091	Manatí	2	70.2624763404725	69.8815049579934	69.7910388879503	70.7866730396737	73.2323102708957	74.4281314288342	75.700797508383	76.8093089428829	76.5666961345577
630	72093	Maricao	2	71.4594961394439	72.8891931391015	71.5984920746927	71.8034782841546	75.201090271678	75.4859235539768	77.0872644843987	77.8764797794698	78.1615453535249
630	72095	Maunabo	2	71.6336635813015	72.1830674109732	72.0068217583548	71.4277155323711	73.8026658840871	74.2573271085955	75.455908472485	77.7112355535843	76.1707667172925
630	72097	Mayagüez	2	70.3239012507936	70.5122284540337	70.3124982046148	70.8769639288684	73.5047988021598	74.0011071735922	74.9442831675332	77.295786393875	76.5239311905063
630	72099	Moca	2	72.2372013804657	73.4052628027847	73.600355714721	73.3955429355859	75.890462522136	77.2178391687732	77.9194657405655	78.566029780948	79.1464892454643
630	72101	Morovis	2	72.6621662320997	72.7987267286959	73.5407798523581	72.66691336625	74.4957320937132	76.1424713407051	77.2655124347276	78.3988754079836	78.5371514634033
630	72103	Naguabo	2	71.5788466554811	70.493877808938	70.009807898938	70.1906319122404	72.2404371727574	73.7945270479723	74.9809240849824	76.0815077688036	76.7650658753753
630	72105	Naranjito	2	74.14087452947	73.3594684106369	72.6596445345691	72.0676790794788	74.9060492213817	76.0821485231087	77.5633170297714	79.5440714229476	77.4984096368928
630	72107	Orocovis	2	73.4038397313405	72.6188406202043	71.3910213837969	73.1537983507482	74.2896461115507	75.5749877377896	77.6751711601971	78.104004211512	78.4752166141494
630	72109	Patillas	2	71.6909115107867	70.9144003986347	71.6044888293735	71.2878120963758	73.5826460213886	74.3815533946167	75.9799670775312	77.2716559966252	76.4534837397852
630	72111	Peñuelas	2	71.5727569590071	71.8321802472145	71.1176306967099	71.864840146024	72.9786777903377	74.2932885883694	76.7948167605642	76.8277106040994	77.4711894670087
