region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.018884499331520754,0.11160692580891692,0.01857290434495727,100000,1857.290434495735,98349.99604123265,0.980927417555199,7224752.135608698,72.24752135608698
Adjuntas,1980-1984,1,1,4,4.8515093390430865e-4,1.5970398392086438,0.0019383440173288099,98142.70956550426,190.23433393072628,392113.71273636684,0.998061631738319,7126402.1395674655,72.61264918318795
Adjuntas,1980-1984,1,5,5,2.037671416564174e-4,2.5,0.001018316959441773,97952.47523157354,99.74666674762557,489513.00949099864,0.9988139046221768,6734288.426831098,68.75056920113846
Adjuntas,1980-1984,1,10,5,2.7099243234428565e-4,2.5,0.0013540448219719048,97852.72856482591,132.49698042901582,488932.40037305705,0.9967996135449904,6244775.4173401,63.81810204917314
Adjuntas,1980-1984,1,15,5,0.001012402228037203,2.5,0.0050492315071168125,97720.2315843969,493.41207219868375,487367.62774148775,0.9940104628146097,5755843.016967042,58.901242083078365
Adjuntas,1980-1984,1,20,5,0.0013917485759673929,2.5,0.006934614779227285,97226.81951219821,674.2305395265575,484448.5212121747,0.9920088681636918,5268475.389225555,54.18747024389258
Adjuntas,1980-1984,1,25,5,0.0018192419609076372,2.5,0.009055026593697214,96552.58897267166,874.2862608378491,480577.22921126365,0.9899108213120368,4784026.86801338,49.54840588860291
Adjuntas,1980-1984,1,30,5,0.002239019380897335,2.5,0.011132780625527092,95678.3027118338,1065.165554713618,475728.59967238497,0.9874643305243033,4303449.638802117,44.9783233693364
Adjuntas,1980-1984,1,35,5,0.002810479653384374,2.5,0.013954352209519334,94613.13715712019,1320.2650395380188,469765.0231867559,0.9841150798033123,3827721.0391297317,40.45654920809984
Adjuntas,1980-1984,1,40,5,0.0036006850194785717,2.5,0.017842809257396553,93292.87211758217,1664.6069222687074,462302.8432822391,0.9774255548578746,3357956.015942976,35.9937039103133
Adjuntas,1980-1984,1,45,5,0.00555448239550169,2.5,0.027392040461211777,91628.26519531346,2509.8851476206764,451866.6131075156,0.9685088803551775,2895653.172660737,31.602182650609013
Adjuntas,1980-1984,1,50,5,0.007270935357706574,2.5,0.03570564322897484,89118.38004769279,3182.0290831271122,437636.8275306461,0.955945296759175,2443786.5595532213,27.4218018577694
Adjuntas,1980-1984,1,55,5,0.010827968894993331,2.5,0.052712910097710196,85936.35096456567,4529.955142520412,418356.86696652736,0.9330970860096947,2006149.7320225753,23.34459992197918
Adjuntas,1980-1984,1,60,5,0.017075604393178012,2.5,0.08188253742638377,81406.39582204526,6665.76225264564,390367.5734786122,0.8980865113156015,1587792.865056048,19.504522329264766
Adjuntas,1980-1984,1,65,5,0.02637807247085625,2.5,0.12373090538167505,74740.63356939962,9247.726260341835,350583.85219614353,0.8456278887825174,1197425.2915774358,16.021074941324645
Adjuntas,1980-1984,1,70,5,0.04182782106094148,2.5,0.18933991508503106,65492.90730905779,12400.421508568797,296463.48277386697,0.7809172496530766,846841.4393812922,12.930277096802092
Adjuntas,1980-1984,1,75,5,0.05865573989840398,2.5,0.2557724009358161,53092.48580048899,13579.592564841798,231513.44759034045,0.6990184914497631,550377.9566074252,10.366400222352297
Adjuntas,1980-1984,1,80,5,0.08831935675070426,2.5,0.3617278550593802,39512.89323564719,14292.91411732095,161832.1808849336,0.4924735230528192,318864.5090170848,8.06988511611739
Adjuntas,1980-1984,1,85,NA,0.18901530866951166,6.226505081363955,1,25219.979118326242,25219.979118326242,157032.3281321512,0,157032.3281321512,6.226505081363955
Adjuntas,1980-1984,2,0,1,0.011357480540134636,0.1256873109702775,0.01124580976887901,100000,1124.5809768878971,99016.76458206547,0.9884817266328739,7878872.403230487,78.78872403230487
Adjuntas,1980-1984,2,1,4,2.815739462718174e-4,1.5057030675060339,0.0011255053100341003,98875.4190231121,111.28480914235115,395224.0987343715,0.998829017349921,7779855.6386484215,78.68341510471761
Adjuntas,1980-1984,2,5,5,1.284726732943674e-4,2.5,6.421571173679788e-4,98764.13421396975,63.42209172618459,493662.11584053334,0.9993078435910477,7384631.53991405,74.7703769054002
Adjuntas,1980-1984,2,10,5,1.4849267044004342e-4,2.5,7.421878285686364e-4,98700.71212224357,73.25446720818582,493320.4244431974,0.9982541515777721,6890969.424073516,69.81681566328376
Adjuntas,1980-1984,2,15,5,5.50808326298487e-4,2.5,0.0027502544738333677,98627.45765503538,271.25060665857745,492459.1617585304,0.9964909335858834,6397648.999630319,64.86681449304994
Adjuntas,1980-1984,2,20,5,8.558213733860523e-4,2.5,0.0042699710357399475,98356.2070483768,419.9781552818022,490731.0898536795,0.9951016319705462,5905189.837871788,60.03881214092876
Adjuntas,1980-1984,2,25,5,0.0011089579224286856,2.5,0.005529459766606107,97936.228893095,541.5344373574917,488327.30837208126,0.9939753821125232,5414458.748018108,55.285554786149774
