period,region,sex,e0
2020-2024,Arecibo,1,76.61868800838806
2020-2024,Arecibo,2,82.31782413776907
1980-1984,Arroyo,1,69.55467006700648
1980-1984,Arroyo,2,77.24339309793503
1985-1989,Arroyo,1,69.41174639395571
1985-1989,Arroyo,2,76.03357829587756
1990-1994,Arroyo,1,69.59382017340951
1990-1994,Arroyo,2,77.32831772527932
1995-1999,Arroyo,1,69.64088673789095
1995-1999,Arroyo,2,77.08089264141368
2000-2004,Arroyo,1,72.03341594293161
2000-2004,Arroyo,2,79.27469807986022
2005-2009,Arroyo,1,72.83037052337232
2005-2009,Arroyo,2,79.98949849410965
2010-2014,Arroyo,1,74.17783908405045
2010-2014,Arroyo,2,81.77042547953815
2015-2019,Arroyo,1,75.95058270873531
2015-2019,Arroyo,2,82.8495297416108
2020-2024,Arroyo,1,76.20565433935106
2020-2024,Arroyo,2,82.24913683994481
1980-1984,Barceloneta,1,70.21623121442481
1980-1984,Barceloneta,2,76.6167518632154
1985-1989,Barceloneta,1,71.56987803656138
1985-1989,Barceloneta,2,77.63814997250623
1990-1994,Barceloneta,1,71.13671214382427
1990-1994,Barceloneta,2,78.24609028652895
1995-1999,Barceloneta,1,69.95304730170508
1995-1999,Barceloneta,2,77.31710233242364
2000-2004,Barceloneta,1,73.29038719591517
2000-2004,Barceloneta,2,79.76060173159189
2005-2009,Barceloneta,1,74.37295975206104
2005-2009,Barceloneta,2,81.71544144397281
2010-2014,Barceloneta,1,74.8579367788018
2010-2014,Barceloneta,2,81.67296125167393
2015-2019,Barceloneta,1,77.43185193005338
2015-2019,Barceloneta,2,83.37755805521499
2020-2024,Barceloneta,1,75.84209842023898
2020-2024,Barceloneta,2,82.50877007643317
1980-1984,Barranquitas,1,71.04087166899997
1980-1984,Barranquitas,2,77.56228359815248
1985-1989,Barranquitas,1,71.13701001417847
1985-1989,Barranquitas,2,77.27576652646044
1990-1994,Barranquitas,1,70.6558003029686
1990-1994,Barranquitas,2,78.42310611243276
1995-1999,Barranquitas,1,70.91685193604701
1995-1999,Barranquitas,2,77.93302699941157
2000-2004,Barranquitas,1,73.74643631041653
2000-2004,Barranquitas,2,80.64109910650082
2005-2009,Barranquitas,1,74.82292176527115
2005-2009,Barranquitas,2,81.51011479451405
2010-2014,Barranquitas,1,75.63564259480783
2010-2014,Barranquitas,2,82.67076214939706
2015-2019,Barranquitas,1,77.52312258771346
2015-2019,Barranquitas,2,84.17176501234145
2020-2024,Barranquitas,1,76.92287135546124
2020-2024,Barranquitas,2,84.51808104135247
1980-1984,Bayamon,1,71.80981529524813
1980-1984,Bayamon,2,77.85972087598427
1985-1989,Bayamon,1,71.35820727704501
1985-1989,Bayamon,2,78.75052184041498
1990-1994,Bayamon,1,69.34697501408984
1990-1994,Bayamon,2,79.68174578997713
1995-1999,Bayamon,1,70.56275506324002
1995-1999,Bayamon,2,79.15063729792571
2000-2004,Bayamon,1,73.40040801505769
2000-2004,Bayamon,2,80.70139555902152
2005-2009,Bayamon,1,74.31711914857901
2005-2009,Bayamon,2,82.12847299378242
2010-2014,Bayamon,1,75.40860029007241
2010-2014,Bayamon,2,82.31109526191857
2015-2019,Bayamon,1,76.77488956284729
2015-2019,Bayamon,2,84.04716033694156
2020-2024,Bayamon,1,75.61362855980045
2020-2024,Bayamon,2,83.321867951581
1980-1984,Cabo Rojo,1,72.21573318951523
1980-1984,Cabo Rojo,2,77.33153362760187
1985-1989,Cabo Rojo,1,72.97583011840003
1985-1989,Cabo Rojo,2,78.49039461815825
1990-1994,Cabo Rojo,1,72.33049041805565
1990-1994,Cabo Rojo,2,78.75534935586913
1995-1999,Cabo Rojo,1,72.19966267189757
1995-1999,Cabo Rojo,2,79.47170764633456
2000-2004,Cabo Rojo,1,74.52742297244542
2000-2004,Cabo Rojo,2,81.29907739242732
2005-2009,Cabo Rojo,1,75.39652399935014
2005-2009,Cabo Rojo,2,80.94097724300453
2010-2014,Cabo Rojo,1,76.0209328553126
2010-2014,Cabo Rojo,2,83.47595900738695
2015-2019,Cabo Rojo,1,79.22525701492482
2015-2019,Cabo Rojo,2,83.35844937886257
2020-2024,Cabo Rojo,1,78.06638472424757
2020-2024,Cabo Rojo,2,83.6287681996308
1980-1984,Caguas,1,71.43747120310779
1980-1984,Caguas,2,78.09728983894784
1985-1989,Caguas,1,70.44852104015031
1985-1989,Caguas,2,78.87063556277572
1990-1994,Caguas,1,68.87047208965653
1990-1994,Caguas,2,77.96320348786583
1995-1999,Caguas,1,69.79061674466563
1995-1999,Caguas,2,78.79451203344172
2000-2004,Caguas,1,72.81340340995501
2000-2004,Caguas,2,80.78013454870683
2005-2009,Caguas,1,74.47820687021193
2005-2009,Caguas,2,82.0865825341165
2010-2014,Caguas,1,74.06705982830552
2010-2014,Caguas,2,81.88284232400012
2015-2019,Caguas,1,76.91025903514009
2015-2019,Caguas,2,84.42022489438799
2020-2024,Caguas,1,75.92566608401184
2020-2024,Caguas,2,83.59006636776664
1980-1984,Camuy,1,71.90499582607517
1980-1984,Camuy,2,78.50051035217477
1985-1989,Camuy,1,72.55800570353684
1985-1989,Camuy,2,79.11823246468825
1990-1994,Camuy,1,71.83664749331041
1990-1994,Camuy,2,78.24322592181719
1995-1999,Camuy,1,71.9615023077985
1995-1999,Camuy,2,79.13913653588382
2000-2004,Camuy,1,74.56978640363594
2000-2004,Camuy,2,80.71853103847768
2005-2009,Camuy,1,75.25680847500348
2005-2009,Camuy,2,81.19460758169919
2010-2014,Camuy,1,76.22236227861814
2010-2014,Camuy,2,83.01863590347605
2015-2019,Camuy,1,77.46230882508219
2015-2019,Camuy,2,83.51850242392759
2020-2024,Camuy,1,77.6256640509377
2020-2024,Camuy,2,85.15456899736084
1980-1984,Canovanas,1,71.81559955688887
1980-1984,Canovanas,2,77.85105924328852
1985-1989,Canovanas,1,71.23704482947115
1985-1989,Canovanas,2,77.47990062476075
1990-1994,Canovanas,1,68.77046578090996
1990-1994,Canovanas,2,77.98717249690648
1995-1999,Canovanas,1,68.76124977983342
1995-1999,Canovanas,2,76.90453598577953
2000-2004,Canovanas,1,71.78546564240683
2000-2004,Canovanas,2,78.86769812938442
2005-2009,Canovanas,1,72.41625139714887
2005-2009,Canovanas,2,81.23879127069114
2010-2014,Canovanas,1,74.30868366395931
2010-2014,Canovanas,2,81.45069038495872
2015-2019,Canovanas,1,75.64778796030741
2015-2019,Canovanas,2,81.89755628526711
2020-2024,Canovanas,1,74.89362532328101
2020-2024,Canovanas,2,82.24011369381779
1980-1984,Carolina,1,72.40574326360816
1980-1984,Carolina,2,79.25524537143465
1985-1989,Carolina,1,71.17717826661891
1985-1989,Carolina,2,79.67302676748669
1990-1994,Carolina,1,70.01757341576882
1990-1994,Carolina,2,79.13062536966234
1995-1999,Carolina,1,70.54219320498416
1995-1999,Carolina,2,79.30685049994041
2000-2004,Carolina,1,73.5092706871433
2000-2004,Carolina,2,80.76389360140192
2005-2009,Carolina,1,74.31344397528622
2005-2009,Carolina,2,81.889122478777
2010-2014,Carolina,1,75.29448697750814
2010-2014,Carolina,2,82.96529046972321
2015-2019,Carolina,1,77.49275067956137
2015-2019,Carolina,2,84.58883419673873
2020-2024,Carolina,1,77.28622038537127
2020-2024,Carolina,2,84.1918564188909
1980-1984,Catano,1,65.88514583061487
1980-1984,Catano,2,74.72995912974548
1985-1989,Catano,1,66.41563566430268
1985-1989,Catano,2,76.94785449491414
1990-1994,Catano,1,64.9348646221129
1990-1994,Catano,2,77.13565137853485
1995-1999,Catano,1,66.1724828955365
1995-1999,Catano,2,76.71917008219258
2000-2004,Catano,1,69.73853193565664
2000-2004,Catano,2,77.9946612957709
2005-2009,Catano,1,70.93921460662078
2005-2009,Catano,2,81.41039712752631
2010-2014,Catano,1,73.3366847410763
2010-2014,Catano,2,82.93569235885059
2015-2019,Catano,1,74.14649343544646
2015-2019,Catano,2,82.75869160078175
2020-2024,Catano,1,73.97878946227243
2020-2024,Catano,2,82.22736427751367
1980-1984,Cayey,1,70.84160969188811
1980-1984,Cayey,2,76.99307525478622
1985-1989,Cayey,1,69.9045895448104
1985-1989,Cayey,2,77.91031550197111
1990-1994,Cayey,1,69.79470716016816
1990-1994,Cayey,2,78.01037743615247
1995-1999,Cayey,1,70.52131557765546
1995-1999,Cayey,2,78.4099414431348
2000-2004,Cayey,1,73.48983597655473
2000-2004,Cayey,2,80.22217081689477
2005-2009,Cayey,1,73.877134218268
2005-2009,Cayey,2,80.8865624440724
2010-2014,Cayey,1,75.1883580735609
2010-2014,Cayey,2,82.50882005465041
2015-2019,Cayey,1,77.13476922870326
2015-2019,Cayey,2,84.4230993431362
2020-2024,Cayey,1,77.97461126107459
2020-2024,Cayey,2,83.5773505252585
1980-1984,Ceiba,1,70.7513510770199
1980-1984,Ceiba,2,77.85889135114614
1985-1989,Ceiba,1,70.40844303092476
1985-1989,Ceiba,2,77.71323667957618
1990-1994,Ceiba,1,70.68462103428345
1990-1994,Ceiba,2,77.82481309333198
1995-1999,Ceiba,1,71.22257511807854
1995-1999,Ceiba,2,78.25319592888319
2000-2004,Ceiba,1,73.26318354028324
2000-2004,Ceiba,2,80.27918757350209
2005-2009,Ceiba,1,74.191290137299
2005-2009,Ceiba,2,81.99680118140215
2010-2014,Ceiba,1,75.57685596550327
2010-2014,Ceiba,2,81.49028877393638
2015-2019,Ceiba,1,77.09461109578373
2015-2019,Ceiba,2,84.52081155877224
2020-2024,Ceiba,1,75.68920001859885
2020-2024,Ceiba,2,82.6930389385132
1980-1984,Ciales,1,72.49360216173433
1980-1984,Ciales,2,78.37394162994953
1985-1989,Ciales,1,72.60425120666125
1985-1989,Ciales,2,79.1939282817022
1990-1994,Ciales,1,71.94802164647129
1990-1994,Ciales,2,79.31301942430827
1995-1999,Ciales,1,71.6386295638338
1995-1999,Ciales,2,79.53043172288199
2000-2004,Ciales,1,73.59657582901444
2000-2004,Ciales,2,81.01049086400648
2005-2009,Ciales,1,74.45448892536326
