fips3,municipio,year,agegroup,population
001,Adjuntas,2000,0-4,1446
001,Adjuntas,2000,5-9,1649
001,Adjuntas,2000,10-14,1852
001,Adjuntas,2000,15-19,1864
001,Adjuntas,2000,20-24,1485
001,Adjuntas,2000,25-29,1177
001,Adjuntas,2000,30-34,1217
001,Adjuntas,2000,35-39,1270
001,Adjuntas,2000,40-44,1259
001,Adjuntas,2000,45-49,1162
001,Adjuntas,2000,50-54,1095
001,Adjuntas,2000,55-59,937
001,Adjuntas,2000,60-64,740
001,Adjuntas,2000,65-69,610
001,Adjuntas,2000,70-74,487
001,Adjuntas,2000,75-79,368
001,Adjuntas,2000,80+,541
001,Adjuntas,2001,0-4,1433
001,Adjuntas,2001,5-9,1638
001,Adjuntas,2001,10-14,1837
001,Adjuntas,2001,15-19,1825
001,Adjuntas,2001,20-24,1511
001,Adjuntas,2001,25-29,1185
001,Adjuntas,2001,30-34,1205
001,Adjuntas,2001,35-39,1266
001,Adjuntas,2001,40-44,1276
001,Adjuntas,2001,45-49,1180
001,Adjuntas,2001,50-54,1110
001,Adjuntas,2001,55-59,997
001,Adjuntas,2001,60-64,766
001,Adjuntas,2001,65-69,632
001,Adjuntas,2001,70-74,500
001,Adjuntas,2001,75-79,380
001,Adjuntas,2001,80+,543
001,Adjuntas,2002,0-4,1414
001,Adjuntas,2002,5-9,1621
001,Adjuntas,2002,10-14,1819
001,Adjuntas,2002,15-19,1788
001,Adjuntas,2002,20-24,1522
001,Adjuntas,2002,25-29,1208
001,Adjuntas,2002,30-34,1199
001,Adjuntas,2002,35-39,1251
001,Adjuntas,2002,40-44,1286
001,Adjuntas,2002,45-49,1206
001,Adjuntas,2002,50-54,1118
001,Adjuntas,2002,55-59,1055
001,Adjuntas,2002,60-64,803
001,Adjuntas,2002,65-69,659
001,Adjuntas,2002,70-74,512
001,Adjuntas,2002,75-79,389
001,Adjuntas,2002,80+,552
001,Adjuntas,2003,0-4,1385
001,Adjuntas,2003,5-9,1598
001,Adjuntas,2003,10-14,1799
001,Adjuntas,2003,15-19,1759
001,Adjuntas,2003,20-24,1523
001,Adjuntas,2003,25-29,1243
001,Adjuntas,2003,30-34,1193
001,Adjuntas,2003,35-39,1224
001,Adjuntas,2003,40-44,1303
001,Adjuntas,2003,45-49,1223
001,Adjuntas,2003,50-54,1126
001,Adjuntas,2003,55-59,1105
001,Adjuntas,2003,60-64,839
001,Adjuntas,2003,65-69,685
001,Adjuntas,2003,70-74,524
001,Adjuntas,2003,75-79,399
001,Adjuntas,2003,80+,556
001,Adjuntas,2004,0-4,1356
001,Adjuntas,2004,5-9,1569
001,Adjuntas,2004,10-14,1774
001,Adjuntas,2004,15-19,1742
001,Adjuntas,2004,20-24,1512
001,Adjuntas,2004,25-29,1282
001,Adjuntas,2004,30-34,1186
001,Adjuntas,2004,35-39,1195
001,Adjuntas,2004,40-44,1323
001,Adjuntas,2004,45-49,1239
001,Adjuntas,2004,50-54,1146
001,Adjuntas,2004,55-59,1148
001,Adjuntas,2004,60-64,876
001,Adjuntas,2004,65-69,716
001,Adjuntas,2004,70-74,537
001,Adjuntas,2004,75-79,407
001,Adjuntas,2004,80+,560
001,Adjuntas,2005,0-4,1327
001,Adjuntas,2005,5-9,1537
001,Adjuntas,2005,10-14,1731
001,Adjuntas,2005,15-19,1741
001,Adjuntas,2005,20-24,1481
001,Adjuntas,2005,25-29,1318
001,Adjuntas,2005,30-34,1175
001,Adjuntas,2005,35-39,1171
001,Adjuntas,2005,40-44,1334
001,Adjuntas,2005,45-49,1258
001,Adjuntas,2005,50-54,1163
001,Adjuntas,2005,55-59,1190
001,Adjuntas,2005,60-64,917
001,Adjuntas,2005,65-69,737
001,Adjuntas,2005,70-74,565
001,Adjuntas,2005,75-79,411
001,Adjuntas,2005,80+,574
001,Adjuntas,2006,0-4,1292
001,Adjuntas,2006,5-9,1498
001,Adjuntas,2006,10-14,1698
001,Adjuntas,2006,15-19,1721
001,Adjuntas,2006,20-24,1446
001,Adjuntas,2006,25-29,1343
001,Adjuntas,2006,30-34,1160
001,Adjuntas,2006,35-39,1149
001,Adjuntas,2006,40-44,1340
001,Adjuntas,2006,45-49,1269
001,Adjuntas,2006,50-54,1189
001,Adjuntas,2006,55-59,1203
001,Adjuntas,2006,60-64,974
001,Adjuntas,2006,65-69,759
001,Adjuntas,2006,70-74,579
001,Adjuntas,2006,75-79,424
001,Adjuntas,2006,80+,576
001,Adjuntas,2007,0-4,1262
001,Adjuntas,2007,5-9,1448
001,Adjuntas,2007,10-14,1658
001,Adjuntas,2007,15-19,1695
001,Adjuntas,2007,20-24,1408
001,Adjuntas,2007,25-29,1357
001,Adjuntas,2007,30-34,1155
001,Adjuntas,2007,35-39,1131
001,Adjuntas,2007,40-44,1339
001,Adjuntas,2007,45-49,1273
001,Adjuntas,2007,50-54,1220
001,Adjuntas,2007,55-59,1211
001,Adjuntas,2007,60-64,1027
001,Adjuntas,2007,65-69,785
001,Adjuntas,2007,70-74,594
001,Adjuntas,2007,75-79,438
001,Adjuntas,2007,80+,583
001,Adjuntas,2008,0-4,1239
001,Adjuntas,2008,5-9,1392
001,Adjuntas,2008,10-14,1616
001,Adjuntas,2008,15-19,1671
001,Adjuntas,2008,20-24,1381
001,Adjuntas,2008,25-29,1360
001,Adjuntas,2008,30-34,1164
001,Adjuntas,2008,35-39,1118
001,Adjuntas,2008,40-44,1321
001,Adjuntas,2008,45-49,1285
001,Adjuntas,2008,50-54,1245
001,Adjuntas,2008,55-59,1219
001,Adjuntas,2008,60-64,1070
001,Adjuntas,2008,65-69,818
001,Adjuntas,2008,70-74,608
001,Adjuntas,2008,75-79,449
001,Adjuntas,2008,80+,590
001,Adjuntas,2009,0-4,1222
001,Adjuntas,2009,5-9,1337
001,Adjuntas,2009,10-14,1565
001,Adjuntas,2009,15-19,1645
001,Adjuntas,2009,20-24,1369
001,Adjuntas,2009,25-29,1348
001,Adjuntas,2009,30-34,1175
001,Adjuntas,2009,35-39,1100
001,Adjuntas,2009,40-44,1299
001,Adjuntas,2009,45-49,1300
001,Adjuntas,2009,50-54,1268
001,Adjuntas,2009,55-59,1236
001,Adjuntas,2009,60-64,1107
001,Adjuntas,2009,65-69,850
001,Adjuntas,2009,70-74,625
001,Adjuntas,2009,75-79,458
001,Adjuntas,2009,80+,597
001,Adjuntas,2010,0-4,1203
001,Adjuntas,2010,5-9,1282
001,Adjuntas,2010,10-14,1526
001,Adjuntas,2010,15-19,1595
001,Adjuntas,2010,20-24,1383
001,Adjuntas,2010,25-29,1319
001,Adjuntas,2010,30-34,1188
001,Adjuntas,2010,35-39,1089
001,Adjuntas,2010,40-44,1288
001,Adjuntas,2010,45-49,1302
001,Adjuntas,2010,50-54,1290
001,Adjuntas,2010,55-59,1266
001,Adjuntas,2010,60-64,1135
001,Adjuntas,2010,65-69,896
001,Adjuntas,2010,70-74,644
001,Adjuntas,2010,75-79,480
001,Adjuntas,2010,80+,606
001,Adjuntas,2011,0-4,1178
001,Adjuntas,2011,5-9,1208
001,Adjuntas,2011,10-14,1494
001,Adjuntas,2011,15-19,1524
001,Adjuntas,2011,20-24,1406
001,Adjuntas,2011,25-29,1257
001,Adjuntas,2011,30-34,1181
001,Adjuntas,2011,35-39,1089
001,Adjuntas,2011,40-44,1262
001,Adjuntas,2011,45-49,1278
001,Adjuntas,2011,50-54,1306
001,Adjuntas,2011,55-59,1313
001,Adjuntas,2011,60-64,1132
001,Adjuntas,2011,65-69,973
001,Adjuntas,2011,70-74,694
001,Adjuntas,2011,75-79,489
001,Adjuntas,2011,80+,610
001,Adjuntas,2012,0-4,1126
001,Adjuntas,2012,5-9,1165
001,Adjuntas,2012,10-14,1441
001,Adjuntas,2012,15-19,1483
001,Adjuntas,2012,20-24,1406
001,Adjuntas,2012,25-29,1196
001,Adjuntas,2012,30-34,1176
001,Adjuntas,2012,35-39,1093
001,Adjuntas,2012,40-44,1204
001,Adjuntas,2012,45-49,1276
001,Adjuntas,2012,50-54,1334
001,Adjuntas,2012,55-59,1329
001,Adjuntas,2012,60-64,1153
001,Adjuntas,2012,65-69,1026
001,Adjuntas,2012,70-74,745
001,Adjuntas,2012,75-79,503
001,Adjuntas,2012,80+,637
001,Adjuntas,2013,0-4,1094
001,Adjuntas,2013,5-9,1172
001,Adjuntas,2013,10-14,1344
001,Adjuntas,2013,15-19,1456
001,Adjuntas,2013,20-24,1401
001,Adjuntas,2013,25-29,1145
001,Adjuntas,2013,30-34,1167
001,Adjuntas,2013,35-39,1103
001,Adjuntas,2013,40-44,1128
001,Adjuntas,2013,45-49,1303
001,Adjuntas,2013,50-54,1365
001,Adjuntas,2013,55-59,1320
001,Adjuntas,2013,60-64,1186
001,Adjuntas,2013,65-69,1094
001,Adjuntas,2013,70-74,778
001,Adjuntas,2013,75-79,539
001,Adjuntas,2013,80+,680
001,Adjuntas,2014,0-4,1012
001,Adjuntas,2014,5-9,1183
001,Adjuntas,2014,10-14,1283
001,Adjuntas,2014,15-19,1401
001,Adjuntas,2014,20-24,1376
001,Adjuntas,2014,25-29,1090
001,Adjuntas,2014,30-34,1153
001,Adjuntas,2014,35-39,1113
001,Adjuntas,2014,40-44,1079
001,Adjuntas,2014,45-49,1282
001,Adjuntas,2014,50-54,1376
001,Adjuntas,2014,55-59,1328
001,Adjuntas,2014,60-64,1232
001,Adjuntas,2014,65-69,1139
001,Adjuntas,2014,70-74,823
001,Adjuntas,2014,75-79,558
001,Adjuntas,2014,80+,699
001,Adjuntas,2015,0-4,969
001,Adjuntas,2015,5-9,1133
001,Adjuntas,2015,10-14,1224
001,Adjuntas,2015,15-19,1374
001,Adjuntas,2015,20-24,1322
001,Adjuntas,2015,25-29,1062
001,Adjuntas,2015,30-34,1126
001,Adjuntas,2015,35-39,1113
001,Adjuntas,2015,40-44,1045
001,Adjuntas,2015,45-49,1280
001,Adjuntas,2015,50-54,1347
001,Adjuntas,2015,55-59,1340
001,Adjuntas,2015,60-64,1285
001,Adjuntas,2015,65-69,1194
001,Adjuntas,2015,70-74,855
001,Adjuntas,2015,75-79,589
001,Adjuntas,2015,80+,721
001,Adjuntas,2016,0-4,916
001,Adjuntas,2016,5-9,1095
001,Adjuntas,2016,10-14,1151
001,Adjuntas,2016,15-19,1342
001,Adjuntas,2016,20-24,1246
001,Adjuntas,2016,25-29,1061
001,Adjuntas,2016,30-34,1067
001,Adjuntas,2016,35-39,1111
001,Adjuntas,2016,40-44,1034
001,Adjuntas,2016,45-49,1259
001,Adjuntas,2016,50-54,1323
001,Adjuntas,2016,55-59,1360
001,Adjuntas,2016,60-64,1329
001,Adjuntas,2016,65-69,1195
001,Adjuntas,2016,70-74,924
001,Adjuntas,2016,75-79,628
001,Adjuntas,2016,80+,754
001,Adjuntas,2017,0-4,839
001,Adjuntas,2017,5-9,1027
001,Adjuntas,2017,10-14,1107
001,Adjuntas,2017,15-19,1290
001,Adjuntas,2017,20-24,1203
001,Adjuntas,2017,25-29,1023
001,Adjuntas,2017,30-34,1015
001,Adjuntas,2017,35-39,1093
001,Adjuntas,2017,40-44,1021
001,Adjuntas,2017,45-49,1199
001,Adjuntas,2017,50-54,1315
001,Adjuntas,2017,55-59,1380
001,Adjuntas,2017,60-64,1345
001,Adjuntas,2017,65-69,1222
001,Adjuntas,2017,70-74,969
001,Adjuntas,2017,75-79,669
001,Adjuntas,2017,80+,786
001,Adjuntas,2018,0-4,705
001,Adjuntas,2018,5-9,940
001,Adjuntas,2018,10-14,1081
001,Adjuntas,2018,15-19,1173
001,Adjuntas,2018,20-24,1141
001,Adjuntas,2018,25-29,959
001,Adjuntas,2018,30-34,942
001,Adjuntas,2018,35-39,1052
001,Adjuntas,2018,40-44,1009
001,Adjuntas,2018,45-49,1111
001,Adjuntas,2018,50-54,1325
001,Adjuntas,2018,55-59,1408
001,Adjuntas,2018,60-64,1319
001,Adjuntas,2018,65-69,1251
001,Adjuntas,2018,70-74,1010
001,Adjuntas,2018,75-79,692
001,Adjuntas,2018,80+,810
001,Adjuntas,2019,0-4,649
001,Adjuntas,2019,5-9,894
001,Adjuntas,2019,10-14,1120
001,Adjuntas,2019,15-19,1163
001,Adjuntas,2019,20-24,1127
001,Adjuntas,2019,25-29,952
001,Adjuntas,2019,30-34,946
001,Adjuntas,2019,35-39,1067
001,Adjuntas,2019,40-44,1031
001,Adjuntas,2019,45-49,1087
001,Adjuntas,2019,50-54,1323
001,Adjuntas,2019,55-59,1422
001,Adjuntas,2019,60-64,1344
001,Adjuntas,2019,65-69,1299
001,Adjuntas,2019,70-74,1065
001,Adjuntas,2019,75-79,718
001,Adjuntas,2019,80+,849
001,Adjuntas,2020,0-4,585
001,Adjuntas,2020,5-9,928
001,Adjuntas,2020,10-14,1122
001,Adjuntas,2020,15-19,1091
001,Adjuntas,2020,20-24,1125
001,Adjuntas,2020,25-29,1148
001,Adjuntas,2020,30-34,1048
001,Adjuntas,2020,35-39,1079
001,Adjuntas,2020,40-44,1103
001,Adjuntas,2020,45-49,1051
001,Adjuntas,2020,50-54,1261
001,Adjuntas,2020,55-59,1340
001,Adjuntas,2020,60-64,1282
001,Adjuntas,2020,65-69,1166
001,Adjuntas,2020,70-74,1000
001,Adjuntas,2020,75-79,721
001,Adjuntas,2020,80+,958
001,Adjuntas,2021,0-4,543
001,Adjuntas,2021,5-9,892
001,Adjuntas,2021,10-14,1100
001,Adjuntas,2021,15-19,1058
001,Adjuntas,2021,20-24,1125
001,Adjuntas,2021,25-29,1121
001,Adjuntas,2021,30-34,1098
001,Adjuntas,2021,35-39,1062
001,Adjuntas,2021,40-44,1117
001,Adjuntas,2021,45-49,1060
001,Adjuntas,2021,50-54,1241
001,Adjuntas,2021,55-59,1317
001,Adjuntas,2021,60-64,1303
001,Adjuntas,2021,65-69,1214
001,Adjuntas,2021,70-74,985
001,Adjuntas,2021,75-79,768
001,Adjuntas,2021,80+,1022
001,Adjuntas,2022,0-4,526
001,Adjuntas,2022,5-9,831
001,Adjuntas,2022,10-14,1053
001,Adjuntas,2022,15-19,1031
001,Adjuntas,2022,20-24,1086
001,Adjuntas,2022,25-29,1102
001,Adjuntas,2022,30-34,1120
001,Adjuntas,2022,35-39,1033
001,Adjuntas,2022,40-44,1119
001,Adjuntas,2022,45-49,1065
001,Adjuntas,2022,50-54,1194
001,Adjuntas,2022,55-59,1307
001,Adjuntas,2022,60-64,1328
001,Adjuntas,2022,65-69,1225
001,Adjuntas,2022,70-74,991
001,Adjuntas,2022,75-79,799
001,Adjuntas,2022,80+,1086
001,Adjuntas,2023,0-4,512
001,Adjuntas,2023,5-9,759
001,Adjuntas,2023,10-14,1021
001,Adjuntas,2023,15-19,1056
001,Adjuntas,2023,20-24,1038
001,Adjuntas,2023,25-29,1097
001,Adjuntas,2023,30-34,1145
001,Adjuntas,2023,35-39,1033
001,Adjuntas,2023,40-44,1128
001,Adjuntas,2023,45-49,1087
001,Adjuntas,2023,50-54,1142
001,Adjuntas,2023,55-59,1306
001,Adjuntas,2023,60-64,1358
001,Adjuntas,2023,65-69,1222
001,Adjuntas,2023,70-74,1008
001,Adjuntas,2023,75-79,833
001,Adjuntas,2023,80+,1142
003,Aguada,2000,0-4,3219
003,Aguada,2000,5-9,3430
003,Aguada,2000,10-14,3630
003,Aguada,2000,15-19,3712
003,Aguada,2000,20-24,3431
003,Aguada,2000,25-29,2807
003,Aguada,2000,30-34,3064
003,Aguada,2000,35-39,3283
003,Aguada,2000,40-44,3177
003,Aguada,2000,45-49,2778
003,Aguada,2000,50-54,2379
003,Aguada,2000,55-59,1920
003,Aguada,2000,60-64,1586
003,Aguada,2000,65-69,1315
003,Aguada,2000,70-74,876
003,Aguada,2000,75-79,652
003,Aguada,2000,80+,851
003,Aguada,2001,0-4,3154
003,Aguada,2001,5-9,3381
003,Aguada,2001,10-14,3614
003,Aguada,2001,15-19,3644
003,Aguada,2001,20-24,3472
003,Aguada,2001,25-29,2775
003,Aguada,2001,30-34,3015
003,Aguada,2001,35-39,3246
003,Aguada,2001,40-44,3190
003,Aguada,2001,45-49,2828
003,Aguada,2001,50-54,2438
003,Aguada,2001,55-59,2073
003,Aguada,2001,60-64,1641
003,Aguada,2001,65-69,1369
003,Aguada,2001,70-74,923
003,Aguada,2001,75-79,686
003,Aguada,2001,80+,864
003,Aguada,2002,0-4,3068
003,Aguada,2002,5-9,3330
003,Aguada,2002,10-14,3581
003,Aguada,2002,15-19,3577
003,Aguada,2002,20-24,3490
003,Aguada,2002,25-29,2775
003,Aguada,2002,30-34,2983
003,Aguada,2002,35-39,3181
003,Aguada,2002,40-44,3186
003,Aguada,2002,45-49,2886
003,Aguada,2002,50-54,2482
003,Aguada,2002,55-59,2219
003,Aguada,2002,60-64,1711
003,Aguada,2002,65-69,1418
003,Aguada,2002,70-74,973
003,Aguada,2002,75-79,718
003,Aguada,2002,80+,877
003,Aguada,2003,0-4,2965
003,Aguada,2003,5-9,3261
003,Aguada,2003,10-14,3549
003,Aguada,2003,15-19,3523
003,Aguada,2003,20-24,3476
003,Aguada,2003,25-29,2801
003,Aguada,2003,30-34,2952
003,Aguada,2003,35-39,3089
003,Aguada,2003,40-44,3200
003,Aguada,2003,45-49,2936
003,Aguada,2003,50-54,2532
003,Aguada,2003,55-59,2351
003,Aguada,2003,60-64,1789
003,Aguada,2003,65-69,1470
003,Aguada,2003,70-74,1026
003,Aguada,2003,75-79,752
003,Aguada,2003,80+,892
003,Aguada,2004,0-4,2870
003,Aguada,2004,5-9,3185
003,Aguada,2004,10-14,3509
003,Aguada,2004,15-19,3502
003,Aguada,2004,20-24,3433
003,Aguada,2004,25-29,2836
003,Aguada,2004,30-34,2920
003,Aguada,2004,35-39,2993
003,Aguada,2004,40-44,3224
003,Aguada,2004,45-49,2975
003,Aguada,2004,50-54,2592
003,Aguada,2004,55-59,2469
003,Aguada,2004,60-64,1865
003,Aguada,2004,65-69,1531
003,Aguada,2004,70-74,1068
003,Aguada,2004,75-79,785
003,Aguada,2004,80+,907
003,Aguada,2005,0-4,2765
003,Aguada,2005,5-9,3098
003,Aguada,2005,10-14,3432
003,Aguada,2005,15-19,3516
003,Aguada,2005,20-24,3351
003,Aguada,2005,25-29,2869
003,Aguada,2005,30-34,2873
003,Aguada,2005,35-39,2909
003,Aguada,2005,40-44,3222
003,Aguada,2005,45-49,3014
003,Aguada,2005,50-54,2654
003,Aguada,2005,55-59,2586
003,Aguada,2005,60-64,1949
003,Aguada,2005,65-69,1572
003,Aguada,2005,70-74,1140
003,Aguada,2005,75-79,805
003,Aguada,2005,80+,917
003,Aguada,2006,0-4,2647
003,Aguada,2006,5-9,3004
003,Aguada,2006,10-14,3369
003,Aguada,2006,15-19,3490
003,Aguada,2006,20-24,3262
003,Aguada,2006,25-29,2869
003,Aguada,2006,30-34,2817
003,Aguada,2006,35-39,2831
003,Aguada,2006,40-44,3213
003,Aguada,2006,45-49,3047
003,Aguada,2006,50-54,2739
003,Aguada,2006,55-59,2645
003,Aguada,2006,60-64,2062
003,Aguada,2006,65-69,1613
003,Aguada,2006,70-74,1192
003,Aguada,2006,75-79,840
003,Aguada,2006,80+,931
003,Aguada,2007,0-4,2543
003,Aguada,2007,5-9,2881
003,Aguada,2007,10-14,3300
003,Aguada,2007,15-19,3443
003,Aguada,2007,20-24,3163
003,Aguada,2007,25-29,2848
003,Aguada,2007,30-34,2791
003,Aguada,2007,35-39,2766
003,Aguada,2007,40-44,3175
003,Aguada,2007,45-49,3061
003,Aguada,2007,50-54,2833
003,Aguada,2007,55-59,2678
003,Aguada,2007,60-64,2169
003,Aguada,2007,65-69,1669
003,Aguada,2007,70-74,1247
003,Aguada,2007,75-79,879
003,Aguada,2007,80+,943
003,Aguada,2008,0-4,2457
003,Aguada,2008,5-9,2744
003,Aguada,2008,10-14,3216
003,Aguada,2008,15-19,3408
003,Aguada,2008,20-24,3086
003,Aguada,2008,25-29,2806
003,Aguada,2008,30-34,2795
003,Aguada,2008,35-39,2704
003,Aguada,2008,40-44,3106
003,Aguada,2008,45-49,3093
003,Aguada,2008,50-54,2920
003,Aguada,2008,55-59,2717
003,Aguada,2008,60-64,2261
003,Aguada,2008,65-69,1732
003,Aguada,2008,70-74,1301
003,Aguada,2008,75-79,916
003,Aguada,2008,80+,957
003,Aguada,2009,0-4,2374
003,Aguada,2009,5-9,2616
003,Aguada,2009,10-14,3123
003,Aguada,2009,15-19,3363
003,Aguada,2009,20-24,3047
003,Aguada,2009,25-29,2739
003,Aguada,2009,30-34,2808
003,Aguada,2009,35-39,2639
003,Aguada,2009,40-44,3036
003,Aguada,2009,45-49,3134
003,Aguada,2009,50-54,2995
003,Aguada,2009,55-59,2775
003,Aguada,2009,60-64,2342
003,Aguada,2009,65-69,1800
003,Aguada,2009,70-74,1361
003,Aguada,2009,75-79,946
003,Aguada,2009,80+,972
003,Aguada,2010,0-4,2290
003,Aguada,2010,5-9,2502
003,Aguada,2010,10-14,3031
003,Aguada,2010,15-19,3298
003,Aguada,2010,20-24,3060
003,Aguada,2010,25-29,2650
003,Aguada,2010,30-34,2799
003,Aguada,2010,35-39,2588
003,Aguada,2010,40-44,2974
003,Aguada,2010,45-49,3166
003,Aguada,2010,50-54,3064
003,Aguada,2010,55-59,2841
003,Aguada,2010,60-64,2412
003,Aguada,2010,65-69,1882
003,Aguada,2010,70-74,1407
003,Aguada,2010,75-79,997
003,Aguada,2010,80+,994
003,Aguada,2011,0-4,2229
003,Aguada,2011,5-9,2410
003,Aguada,2011,10-14,2919
003,Aguada,2011,15-19,3209
003,Aguada,2011,20-24,3074
003,Aguada,2011,25-29,2549
003,Aguada,2011,30-34,2735
003,Aguada,2011,35-39,2564
003,Aguada,2011,40-44,2843
003,Aguada,2011,45-49,3196
003,Aguada,2011,50-54,3085
003,Aguada,2011,55-59,2910
003,Aguada,2011,60-64,2470
003,Aguada,2011,65-69,1993
003,Aguada,2011,70-74,1475
003,Aguada,2011,75-79,1057
003,Aguada,2011,80+,1027
003,Aguada,2012,0-4,2117
003,Aguada,2012,5-9,2376
003,Aguada,2012,10-14,2751
003,Aguada,2012,15-19,3175
003,Aguada,2012,20-24,3018
003,Aguada,2012,25-29,2455
003,Aguada,2012,30-34,2694
003,Aguada,2012,35-39,2536
003,Aguada,2012,40-44,2743
003,Aguada,2012,45-49,3147
003,Aguada,2012,50-54,3124
003,Aguada,2012,55-59,2977
003,Aguada,2012,60-64,2511
003,Aguada,2012,65-69,2118
003,Aguada,2012,70-74,1546
003,Aguada,2012,75-79,1101
003,Aguada,2012,80+,1099
003,Aguada,2013,0-4,2065
003,Aguada,2013,5-9,2300
003,Aguada,2013,10-14,2584
003,Aguada,2013,15-19,3103
003,Aguada,2013,20-24,2987
003,Aguada,2013,25-29,2411
003,Aguada,2013,30-34,2576
003,Aguada,2013,35-39,2588
003,Aguada,2013,40-44,2660
003,Aguada,2013,45-49,3082
003,Aguada,2013,50-54,3150
003,Aguada,2013,55-59,3043
003,Aguada,2013,60-64,2553
003,Aguada,2013,65-69,2248
003,Aguada,2013,70-74,1635
003,Aguada,2013,75-79,1111
003,Aguada,2013,80+,1167
003,Aguada,2014,0-4,1955
003,Aguada,2014,5-9,2230
003,Aguada,2014,10-14,2476
003,Aguada,2014,15-19,2952
003,Aguada,2014,20-24,2930
003,Aguada,2014,25-29,2414
003,Aguada,2014,30-34,2397
003,Aguada,2014,35-39,2619
003,Aguada,2014,40-44,2553
003,Aguada,2014,45-49,2993
003,Aguada,2014,50-54,3142
003,Aguada,2014,55-59,3073
003,Aguada,2014,60-64,2734
003,Aguada,2014,65-69,2298
003,Aguada,2014,70-74,1707
003,Aguada,2014,75-79,1167
003,Aguada,2014,80+,1219
003,Aguada,2015,0-4,1890
003,Aguada,2015,5-9,2118
003,Aguada,2015,10-14,2345
003,Aguada,2015,15-19,2839
003,Aguada,2015,20-24,2873
003,Aguada,2015,25-29,2393
003,Aguada,2015,30-34,2223
003,Aguada,2015,35-39,2625
003,Aguada,2015,40-44,2475
003,Aguada,2015,45-49,2889
003,Aguada,2015,50-54,3180
003,Aguada,2015,55-59,3054
003,Aguada,2015,60-64,2855
003,Aguada,2015,65-69,2365
003,Aguada,2015,70-74,1764
003,Aguada,2015,75-79,1270
003,Aguada,2015,80+,1287
003,Aguada,2016,0-4,1758
003,Aguada,2016,5-9,2032
003,Aguada,2016,10-14,2229
003,Aguada,2016,15-19,2739
003,Aguada,2016,20-24,2780
003,Aguada,2016,25-29,2355
003,Aguada,2016,30-34,2126
003,Aguada,2016,35-39,2570
003,Aguada,2016,40-44,2438
003,Aguada,2016,45-49,2762
003,Aguada,2016,50-54,3207
003,Aguada,2016,55-59,3059
003,Aguada,2016,60-64,2940
003,Aguada,2016,65-69,2412
003,Aguada,2016,70-74,1853
003,Aguada,2016,75-79,1349
003,Aguada,2016,80+,1360
003,Aguada,2017,0-4,1569
003,Aguada,2017,5-9,1906
003,Aguada,2017,10-14,2177
003,Aguada,2017,15-19,2573
003,Aguada,2017,20-24,2725
003,Aguada,2017,25-29,2228
003,Aguada,2017,30-34,2023
003,Aguada,2017,35-39,2528
003,Aguada,2017,40-44,2383
003,Aguada,2017,45-49,2656
003,Aguada,2017,50-54,3151
003,Aguada,2017,55-59,3092
003,Aguada,2017,60-64,2998
003,Aguada,2017,65-69,2439
003,Aguada,2017,70-74,1965
003,Aguada,2017,75-79,1404
003,Aguada,2017,80+,1443
003,Aguada,2018,0-4,1348
003,Aguada,2018,5-9,1796
003,Aguada,2018,10-14,2036
003,Aguada,2018,15-19,2360
003,Aguada,2018,20-24,2550
003,Aguada,2018,25-29,2081
003,Aguada,2018,30-34,1916
003,Aguada,2018,35-39,2376
003,Aguada,2018,40-44,2380
003,Aguada,2018,45-49,2542
003,Aguada,2018,50-54,3052
003,Aguada,2018,55-59,3083
003,Aguada,2018,60-64,3038
003,Aguada,2018,65-69,2449
003,Aguada,2018,70-74,2052
003,Aguada,2018,75-79,1482
003,Aguada,2018,80+,1482
003,Aguada,2019,0-4,1260
003,Aguada,2019,5-9,1745
003,Aguada,2019,10-14,2024
003,Aguada,2019,15-19,2347
003,Aguada,2019,20-24,2492
003,Aguada,2019,25-29,2071
003,Aguada,2019,30-34,2023
003,Aguada,2019,35-39,2292
003,Aguada,2019,40-44,2457
003,Aguada,2019,45-49,2491
003,Aguada,2019,50-54,2993
003,Aguada,2019,55-59,3099
003,Aguada,2019,60-64,3104
003,Aguada,2019,65-69,2636
003,Aguada,2019,70-74,2108
003,Aguada,2019,75-79,1549
003,Aguada,2019,80+,1557
003,Aguada,2020,0-4,1159
003,Aguada,2020,5-9,1718
003,Aguada,2020,10-14,1982
003,Aguada,2020,15-19,2143
003,Aguada,2020,20-24,2401
003,Aguada,2020,25-29,2505
003,Aguada,2020,30-34,2325
003,Aguada,2020,35-39,2149
003,Aguada,2020,40-44,2425
003,Aguada,2020,45-49,2300
003,Aguada,2020,50-54,2738
003,Aguada,2020,55-59,3086
003,Aguada,2020,60-64,2997
003,Aguada,2020,65-69,2647
003,Aguada,2020,70-74,2113
003,Aguada,2020,75-79,1515
003,Aguada,2020,80+,1906
003,Aguada,2021,0-4,1069
003,Aguada,2021,5-9,1633
003,Aguada,2021,10-14,1927
003,Aguada,2021,15-19,2087
003,Aguada,2021,20-24,2354
003,Aguada,2021,25-29,2505
003,Aguada,2021,30-34,2402
003,Aguada,2021,35-39,2115
003,Aguada,2021,40-44,2419
003,Aguada,2021,45-49,2284
003,Aguada,2021,50-54,2618
003,Aguada,2021,55-59,3092
003,Aguada,2021,60-64,3005
003,Aguada,2021,65-69,2731
003,Aguada,2021,70-74,2143
003,Aguada,2021,75-79,1595
003,Aguada,2021,80+,2025
003,Aguada,2022,0-4,1053
003,Aguada,2022,5-9,1495
