period,sex,cobertura
1980-1984,1,61.53846153846154
1980-1984,2,56.41025641025641
1985-1989,1,50
1985-1989,2,53.84615384615385
1990-1994,1,37.17948717948718
1990-1994,2,42.30769230769231
1995-1999,1,34.61538461538461
1995-1999,2,46.15384615384615
2000-2004,1,46.15384615384615
2000-2004,2,57.692307692307686
2005-2009,1,37.17948717948718
2005-2009,2,43.58974358974359
2010-2014,1,42.30769230769231
2010-2014,2,30.76923076923077
2015-2019,1,44.871794871794876
2015-2019,2,35.8974358974359
2020-2024,1,28.205128205128204
2020-2024,2,20.51282051282051
