period,sex,cobertura
1980-1984,1,19.230769230769234
1980-1984,2,19.230769230769234
1985-1989,1,15.384615384615385
1985-1989,2,19.230769230769234
1990-1994,1,12.82051282051282
1990-1994,2,15.384615384615385
1995-1999,1,14.102564102564102
1995-1999,2,21.794871794871796
2000-2004,1,16.666666666666664
2000-2004,2,20.51282051282051
2005-2009,1,10.256410256410255
2005-2009,2,17.94871794871795
2010-2014,1,20.51282051282051
2010-2014,2,17.94871794871795
2015-2019,1,15.384615384615385
2015-2019,2,21.794871794871796
2020-2024,1,11.538461538461538
2020-2024,2,15.384615384615385
