period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,19.230769230769234,11.538461538461538,7.6923076923076925,33.33333333333333,47.43589743589743
1980-1984,2,19.230769230769234,11.538461538461538,7.6923076923076925,55.12820512820513,25.64102564102564
1985-1989,1,15.384615384615385,7.6923076923076925,7.6923076923076925,57.692307692307686,26.923076923076923
1985-1989,2,19.230769230769234,12.82051282051282,6.41025641025641,42.30769230769231,38.46153846153847
1990-1994,1,12.82051282051282,3.8461538461538463,8.974358974358974,58.97435897435898,28.205128205128204
1990-1994,2,15.384615384615385,8.974358974358974,6.41025641025641,32.05128205128205,52.56410256410257
1995-1999,1,14.102564102564102,6.41025641025641,7.6923076923076925,65.38461538461539,20.51282051282051
1995-1999,2,21.794871794871796,15.384615384615385,6.41025641025641,34.61538461538461,43.58974358974359
2000-2004,1,16.666666666666664,5.128205128205128,11.538461538461538,55.12820512820513,28.205128205128204
2000-2004,2,20.51282051282051,11.538461538461538,8.974358974358974,28.205128205128204,51.28205128205128
2005-2009,1,10.256410256410255,6.41025641025641,3.8461538461538463,53.84615384615385,35.8974358974359
2005-2009,2,17.94871794871795,10.256410256410255,7.6923076923076925,25.64102564102564,56.41025641025641
2010-2014,1,20.51282051282051,12.82051282051282,7.6923076923076925,39.743589743589745,39.743589743589745
2010-2014,2,17.94871794871795,7.6923076923076925,10.256410256410255,17.94871794871795,64.1025641025641
2015-2019,1,15.384615384615385,7.6923076923076925,7.6923076923076925,42.30769230769231,42.30769230769231
2015-2019,2,21.794871794871796,10.256410256410255,11.538461538461538,15.384615384615385,62.82051282051282
2020-2024,1,11.538461538461538,6.41025641025641,5.128205128205128,56.41025641025641,32.05128205128205
2020-2024,2,15.384615384615385,7.6923076923076925,7.6923076923076925,17.94871794871795,66.66666666666666
